row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,55.717,1.111.672,,15.0,55717.0,1111672.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,11.256.430,6.484.335,,16.0,11256430.0,6484335.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,7.697.240,5.122.335,,,7697240.0,5122335.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,3.559.190,1.362.000,,,3559190.0,1362000.0
III,B > III,III,Tiền gửi của khách hàng,17,117.539.696,102.351.494,,17.0,117539696.0,102351494.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,3.000.000,3.000.000,,18.0,3000000.0,3000000.0
VII,B > VII,VII,Các khoản nợ khác,,3.266.530,2.405.588,,,3266530.0,2405588.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.153.139,2.000.279,,,2153139.0,2000279.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,1.113.391,405.309,,19.0,1113391.0,405309.0
,,,TỔNG NỘ PHẢI TRẢ,,135.118.373,115.353.089,,,135118373.0,115353089.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,14.251.181,13.448.419,,21.0,14251181.0,13448419.0
1,B > 1,1,Vốn,,12.448.674,12.448.674,,,12448674.0,12448674.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,12.355.229,12.355.229,,,12355229.0,12355229.0
\( b \),B > \( b \),\( b \),"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,15.396,15.396,,,15396.0,15396.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
\( d \),B > \( d \),\( d \),Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Các quỹ,,1.587.009,1.462.854,,,1587009.0,1462854.0
5,B > 5,5,Lợi nhuận chưa phân phối/(lỗ lũy kế),,215.498,(463.109),,,215498.0,-463109.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,14.251.181,13.448.419,,,14251181.0,13448419.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,149.369.554,128.801.508,,,149369554.0,128801508.0
