row_label_raw,row_label_full,col_0,col_1,2017Triệu VND,2016Triệu VND,numeric__col_1,numeric__2017Triệu VND,numeric__2016Triệu VND
,,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,(165.185),(200.246),,-165185.0,-200246.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",241.958,81.027,,241958.0,81027.0
08,08,08,"Tiền thu từ thanh lý đầu tư, góp vốn vào đơn vị khác",583.980,13.226,,583980.0,13226.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoảnđầu tư, góp vốn",3.267,345,,3267.0,345.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNGĐẦU TƯ,664.020,(105.648),,664020.0,-105648.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
04,04,04,Cổ tức trả cho cổ đông,(19),(72),,-19.0,-72.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNGTÀI CHÍNH,(19),(72),,-19.0,-72.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,8.738.461,1.491.893,,8738461.0,1491893.0
V,V,V,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIẾNTẠI THỜI ĐIỂM ĐẦU NĂM,14.066.630,12.574.737,,14066630.0,12574737.0
VII,VII,VII,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIẾNTẠI THỜI ĐIỂM CUỐI NĂM(THUYẾT MINH SỐ 32),22.805.091,14.066.630,,22805091.0,14066630.0
,,,CÁC GIAO ĐỊCH PHI TIÊN TỆ TRỌNG YẾUTỪ HOẠT ĐỘNG ĐẦU TƯ,2017Triệu VND,2016Triệu VND,,,
,,,Phân loại tài sản gán nợ từ tài sản cố định sang tài sancó khác,-,1.319.329,,,1319329.0
