row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạn > Quá hạn trên 3 tháng Triệu VND,Quá hạn > Quá hạn đến 3 tháng Triệu VND,Quá hạn > Đến 1 tháng Triệu VND,Trong hạn > Từ trên 1 đến 3 tháng Triệu VND,Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,Trong hạn > Từ trên 1 đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Trong hạn > Tổng Triệu VND,numeric__Quá hạn > Quá hạn trên 3 tháng Triệu VND,numeric__Quá hạn > Quá hạn đến 3 tháng Triệu VND,numeric__Quá hạn > Đến 1 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Trong hạn > Tổng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.020.060,-,-,-,-,2.020.060,,,2020060.0,,,,,2020060.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.765.279,-,-,-,-,3.765.279,,,3765279.0,,,,,3765279.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,110.550,-,7.628.491,652.800,-,-,-,8.391.841,110550.0,,7628491.0,652800.0,,,,8391841.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,9.841,-,-,-,9.841,,,,9841.0,,,,9841.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.560.148,411.522,3.499.824,11.014.281,19.459.125,15.819.722,34.126.705,86.891.327,2560148.0,411522.0,3499824.0,11014281.0,19459125.0,15819722.0,34126705.0,86891327.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,1.270,250.832,2.827.276,17.953.841,575.000,21.608.219,,,1270.0,250832.0,2827276.0,17953841.0,575000.0,21608219.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,1.937.865,1.937.865,,,,,,,1937865.0,1937865.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,10.740,4.174,55.479,237.722,3.059.814,3.367.929,,,10740.0,4174.0,55479.0,237722.0,3059814.0,3367929.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,49.775,-,967.151,135.047,714.841,1.618.740,-,3.485.554,49775.0,,967151.0,135047.0,714841.0,1618740.0,,3485554.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.720.473,411.522,17.892.815,12.066.975,23.056.721,35.630.025,39.699.384,131.477.915,2720473.0,411522.0,17892815.0,12066975.0,23056721.0,35630025.0,39699384.0,131477915.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.048.581,24.384,38.707,-,-,1.111.672,,,1048581.0,24384.0,38707.0,,,1111672.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,2.716.135,3.768.200,-,-,-,6.484.335,,,2716135.0,3768200.0,,,,6484335.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,46.472.362,19.926.252,31.739.335,4.213.041,504,102.351.494,,,46472362.0,19926252.0,31739335.0,4213041.0,504.0,102351494.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,-,-,-,3.000.000,-,3.000.000,,,,,,3000000.0,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.179.189,27.425,82.365,116.609,-,2.405.588,,,2179189.0,27425.0,82365.0,116609.0,,2405588.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,52.416.267,23.746.261,31.860.407,7.329.650,504,115.353.089,,,52416267.0,23746261.0,31860407.0,7329650.0,504.0,115353089.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.720.473,411.522,(34.523.452),(11.679.286),(8.803.686),28.300.375,39.698.880,16.124.826,2720473.0,411522.0,-34523452.0,-11679286.0,-8803686.0,28300375.0,39698880.0,16124826.0
