row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Tại ngày 31 tháng 12 năm 2016","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Quá hạnTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Không chịu lãiTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Dưới1 thángTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ 1 đến3 thángTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ trên 3đến 6 thángTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ trên 6đến 12 thángTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ trên 1đến 5 nămTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Trên 5 nămTriệu VND","Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > TổngTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Quá hạnTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Không chịu lãiTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Dưới1 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ 1 đến3 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ trên 3đến 6 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ trên 6đến 12 thángTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Từ trên 1đến 5 nămTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > Trên 5 nămTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt NamTầng 8, Văn phòng số L8-01-11+16 Tòa nhà Vincom CenterSố 72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2017 (tiếp theo) > TổngTriệu VND"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.020.060,-,-,-,-,-,-,2.020.060,,2020060.0,,,,,,,2020060.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.765.279,-,-,-,-,-,3.765.279,,,3765279.0,,,,,,3765279.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,110.550,-,7.628.491,652.800,-,-,-,-,8.391.841,110550.0,,7628491.0,652800.0,,,,,8391841.0
Công cụ tài chính phải sinh và các tàisản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tàisản tài chính khác,Công cụ tài chính phải sinh và các tàisản tài chính khác,-,9.841,-,-,-,-,-,-,9.841,,9841.0,,,,,,,9841.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.971.670,-,39.120.151,16.871.273,14.202.055,11.531.813,2.146.105,48.260,86.891.327,2971670.0,,39120151.0,16871273.0,14202055.0,11531813.0,2146105.0,48260.0,86891327.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,7.063.450,-,250.828,1.719.251,3.123.025,9.376.665,75.000,21.608.219,,7063450.0,,250828.0,1719251.0,3123025.0,9376665.0,75000.0,21608219.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,1.937.865,-,-,-,-,-,-,1.937.865,,1937865.0,,,,,,,1937865.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.367.929,-,-,-,-,-,-,3.367.929,,3367929.0,,,,,,,3367929.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,49.775,3.435.779,-,-,-,-,-,-,3.485.554,49775.0,3435779.0,,,,,,,3485554.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),3.131.995,17.834.924,50.513.921,17.774.901,15.921.306,14.654.838,11.522.770,123.260,131.477.915,3131995.0,17834924.0,50513921.0,17774901.0,15921306.0,14654838.0,11522770.0,123260.0,131477915.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.048.581,24.384,15.182,23.525,-,-,1.111.672,,,1048581.0,24384.0,15182.0,23525.0,,,1111672.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,2.716.135,3.768.200,-,-,-,-,6.484.335,,,2716135.0,3768200.0,,,,,6484335.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,46.472.362,19.926.252,17.265.919,14.473.416,4.213.041,504,102.351.494,,,46472362.0,19926252.0,17265919.0,14473416.0,4213041.0,504.0,102351494.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,-,3.000.000,-,3.000.000,,,,,,,3000000.0,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,2.405.588,-,-,-,-,-,-,2.405.588,,2405588.0,,,,,,,2405588.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,2.405.588,50.237.078,23.718.836,17.281.101,14.496.941,7.213.041,504,115.353.089,,2405588.0,50237078.0,23718836.0,17281101.0,14496941.0,7213041.0,504.0,115353089.0
Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suấtnội bảng [(3)=(1)-(2)],3.131.995,15.429.336,276.843,(5.943.935),(1.359.795),157.897,4.309.729,122.756,16.124.826,3131995.0,15429336.0,276843.0,-5943935.0,-1359795.0,157897.0,4309729.0,122756.0,16124826.0
Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Mức chênh nhạy cảm với lãi suấtngoại bảng (4),Mức chênh nhạy cảm với lãi suấtngoại bảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtngoại bảng (4) > Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng [(5)=(3)+(4)]",3.131.995,15.429.336,276.843,(5.943.935),(1.359.795),157.897,4.309.729,122.756,16.124.826,3131995.0,15429336.0,276843.0,-5943935.0,-1359795.0,157897.0,4309729.0,122756.0,16124826.0
