row_label_raw,row_label_full,Ban Tổng Giám đốc,Ban Tổng Giám đốc_1,Ban Tổng Giám đốc_2,numeric__Ban Tổng Giám đốc_1,numeric__Ban Tổng Giám đốc_2
,,,Ông Lê Văn QuyếtÔng Trần Tấn Lộc,Tổng Giám đốcPhó Tổng Giám đốc(từ ngày 7 tháng 8 năm 2017),,
,,,Ông Trần Tấn Lộc,Phó Tổng Giám đốc Thương trực(đến ngày 6 tháng 8 năm 2017),,
,,,Ông Đào Hồng ChâuBà Đình Thị Thu ThảoBà Văn Thái Bảo NhiÔng Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc kiểmGiám đốc Tài chính,,
,,,Ông Võ Quang Hiền,Phó Tổng Giám đốc(từ ngày 7 tháng 8 năm 2017),,
,,,Ông Lê Anh Tú,Phó Tổng Giám đốc(đến ngày 6 tháng 8 năm 2017),,
,,,Ông Bùi Văn Đạo,Phó Tổng Giám đốc(đến ngày 6 tháng 8 năm 2017),,
,,,Ông Yutaka Moriwaki,Phó Tổng Giám đốc(đến ngày 6 tháng 8 năm 2017),,
,,,Ông Nguyễn Văn Hào,Phó Tổng Giám đốc(đến ngày 6 tháng 8 năm 2017),,
,,,Ông Masashi Mochizuki,Phó Tổng Giám đốc(đến ngày 6 tháng 8 năm 2017),,
,,,Ông Nguyễn Quốc Hương,Phó Tổng Giám đốc(đến ngày 14 tháng 8 năm 2017),,
,,,Bà Bùi Đỗ Bích Vân,Phó Tổng Giám đốc(đến ngày 14 tháng 8 năm 2017),,
,,,Ông Lê Hải Lâm,Phó Tổng Giám đốc(đến ngày 3 tháng 8 năm 2017),,
,,,Ông Nguyễn Quang Triết,Phó Tổng Giám đốc(đến ngày 14 tháng 8 năm 2017),,
