row_label_raw,row_label_full,Số dư đầu năm trước,Vốn góp của chủ sở hữu > 2.741.945.250.000,Thặng dư vốn cổ phần > 10.420.226.000,Vốn khác của chủ sở hữu > -,Quỹ đầu tư phát triển > 88.911.777.924,Lợi nhuận sau thuế chưa phân phối > 126.984.345.287,Đơn vị tính: VND > 2.968.261.599.211,numeric__Vốn góp của chủ sở hữu > 2.741.945.250.000,numeric__Thặng dư vốn cổ phần > 10.420.226.000,numeric__Vốn khác của chủ sở hữu > -,numeric__Quỹ đầu tư phát triển > 88.911.777.924,numeric__Lợi nhuận sau thuế chưa phân phối > 126.984.345.287,numeric__Đơn vị tính: VND > 2.968.261.599.211
Giảm vốn điều lệ,Giảm vốn điều lệ,Giảm vốn điều lệ,(1.370.972.020.000),-,-,-,-,(1.370.972.020.000),-1370972020000.0,,,,,-1370972020000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,185.825.278.243,185.825.278.243,,,,,185825278243.0,185825278243.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,9.879.082.385,(22.077.061.162),(12.197.978.777),,,,9879082385.0,-22077061162.0,-12197978777.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,(109.677.858.400),(109.677.858.400),,,,,-109677858400.0,-109677858400.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.370.973.230.000,10.420.226.000,-,98.790.860.309,181.054.703.968,1.661.239.020.277,1370973230000.0,10420226000.0,,98790860309.0,181054703968.0,1661239020277.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.370.973.230.000,10.420.226.000,-,98.790.860.309,181.054.703.968,1.661.239.020.277,1370973230000.0,10420226000.0,,98790860309.0,181054703968.0,1661239020277.0
trong năm,trong năm,trong năm,-,-,4.162.826.677,(4.162.826.677),-,,,,4162826677.0,-4162826677.0,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,232.986.396.506,232.986.396.506,,,,,232986396506.0,232986396506.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,14.830.701.262,(35.247.508.351),(20.416.807.089),,,,14830701262.0,-35247508351.0,-20416807089.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,(137.097.323.000),(137.097.323.000),,,,,-137097323000.0,-137097323000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.973.230.000,10.420.226.000,4.162.826.677,109.458.734.894,241.696.269.123,1.736.711.286.694,1370973230000.0,10420226000.0,4162826677.0,109458734894.0,241696269123.0,1736711286694.0
