row_label_raw,row_label_full,col_0,Chi phí nghiên cứu và triển khai,Phần mềm máy tính,Cộng,numeric__Chi phí nghiên cứu và triển khai,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,412.500.000,8.979.850.880,9.392.350.880,412500000.0,8979850880.0,9392350880.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,83.928.310,83.928.310,,83928310.0,83928310.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,1.749.440.896,1.749.440.896,,1749440896.0,1749440896.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,412.500.000,10.813.220.086,11.225.720.086,412500000.0,10813220086.0,11225720086.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vĩn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vĩn còn sử dụng,Đã khấu hao hết nhưng vĩn còn sử dụng,-,1.911.157.521,1.911.157.521,,1911157521.0,1911157521.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,144.375.000,3.988.203.269,4.132.578.269,144375000.0,3988203269.0,4132578269.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,41.250.000,736.976.994,778.226.994,41250000.0,736976994.0,778226994.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,185.625.000,4.725.180.263,4.910.805.263,185625000.0,4725180263.0,4910805263.0
