row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
Bảng cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cáo kết quả hoạt động kinh doanh hợp nhất,Bảng cáo kết quả hoạt động kinh doanh hợp nhất,,,,
Doanh thu bán hàng và cung cấp dịch vụ,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,992.793.347.653,23.028.191.305,1.015.821.538.958,1.0,992793347653.0,23028191305.0,1015821538958.0
Giá vốn hàng bán,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Giá vốn hàng bán,Giá vốn hàng bán,11,526.610.104.869,19.783.464.563,546.393.569.432,11.0,526610104869.0,19783464563.0,546393569432.0
Doanh thu hoạt động tài chính,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,2.969.739.859,314.966.933,3.284.706.792,21.0,2969739859.0,314966933.0,3284706792.0
Chi phí bán hàng,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí bán hàng,Chi phí bán hàng,25,34.567.560.276,34.141.520,34.601.701.796,25.0,34567560276.0,34141520.0,34601701796.0
Chi phí quản lý doanh nghiệp,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,55.386.931.480,(52.930.197),55.334.001.283,26.0,55386931480.0,-52930197.0,55334001283.0
Thu nhập khác,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Thu nhập khác,Thu nhập khác,31,6.918.628.521,4.192.815.065,11.111.443.586,31.0,6918628521.0,4192815065.0,11111443586.0
Chi phí khác,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí khác,Chi phí khác,32,911.989.190,5.318.729.683,6.230.718.873,32.0,911989190.0,5318729683.0,6230718873.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,37.482.061.326,955.604.424,38.437.665.750,51.0,37482061326.0,955604424.0,38437665750.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Bảng cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,184.328.314.933,1.496.963.310,185.825.278.243,60.0,184328314933.0,1496963310.0,185825278243.0
Bảng cáo lưu chuyển tiền tệ hợp nhất,Bảng cáo lưu chuyển tiền tệ hợp nhất,Bảng cáo lưu chuyển tiền tệ hợp nhất,Bảng cáo lưu chuyển tiền tệ hợp nhất,Bảng cáo lưu chuyển tiền tệ hợp nhất,Bảng cáo lưu chuyển tiền tệ hợp nhất,Bảng cáo lưu chuyển tiền tệ hợp nhất,,,,
Lợi nhuận trước thuế,Bảng cáo lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,221.810.376.259,2.452.567.734,224.262.943.933,1.0,221810376259.0,2452567734.0,224262943933.0
"Lãi, lỗ từ hoạt động đầu tư","Bảng cáo lưu chuyển tiền tệ hợp nhất > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,(2.696.994.839),(314.966.933),(3.011.961.772),5.0,-2696994839.0,-314966933.0,-3011961772.0
"Tăng, giảm các khoản phải thu","Bảng cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,1.418.794.165.941,(22.839.317.468),1.395.954.848.473,9.0,1418794165941.0,-22839317468.0,1395954848473.0
"Tăng, giảm hàng tồn kho","Bảng cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,(214.443.653.488),14.294.897.051,(200.148.756.437),10.0,-214443653488.0,14294897051.0,-200148756437.0
"Tăng, giảm khác khoản phải trả","Bảng cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm khác khoản phải trả","Tăng, giảm khác khoản phải trả",11,177.791.475.711,6.406.819.616,184.198.295.327,11.0,177791475711.0,6406819616.0,184198295327.0
