row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,,,,
Phải thu ngắn hạn của khách hàng,Băng cân đối kế toán hợp nhất > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,641.695.263.019,22.904.066.867,664.599.329.886,131.0,641695263019.0,22904066867.0,664599329886.0
Phải thu ngắn hạn khác,Băng cân đối kế toán hợp nhất > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,25.957.477.865,158.651.020,26.116.128.885,136.0,25957477865.0,158651020.0,26116128885.0
Tài sản thiếu chờ xử lý,Băng cân đối kế toán hợp nhất > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,89.163.205,91.566.514,180.729.719,139.0,89163205.0,91566514.0,180729719.0
Hàng tồn kho,Băng cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,5.349.098.094.057,(14.294.897.051),5.334.803.197.006,141.0,5349098094057.0,-14294897051.0,5334803197006.0
Phải trả người bán ngắn hạn,Băng cân đối kế toán hợp nhất > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,2.288.520.496.173,984.203.034,2.289.504.699.207,311.0,2288520496173.0,984203034.0,2289504699207.0
Người mua trả tiền trước ngắn hạn,Băng cân đối kế toán hợp nhất > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,92.399.289.846,(76.920.279.870),15.479.009.976,312.0,92399289846.0,-76920279870.0,15479009976.0
Thuế và các khoản phải nộp Nhà nước,Băng cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,11.440.344.991,3.387.501.627,14.827.846.618,313.0,11440344991.0,3387501627.0,14827846618.0
Chi phí phải trả ngắn hạn,Băng cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,392.899.954.526,3.043.649.576,395.943.604.102,315.0,392899954526.0,3043649576.0,395943604102.0
Phải trả ngắn hạn khác,Băng cân đối kế toán hợp nhất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,596.626.289.167,(52.930.197),596.573.358.970,319.0,596626289167.0,-52930197.0,596573358970.0
"Quỹ khen thưởng, phúc lợi Doanh thu chưa thực hiện dài hạn","Băng cân đối kế toán hợp nhất > Quỹ khen thưởng, phúc lợi Doanh thu chưa thực hiện dài hạn","Quỹ khen thưởng, phúc lợi Doanh thu chưa thực hiện dài hạn",322,12.285.977.662,(28.341.843),12.257.635.819,322.0,12285977662.0,-28341843.0,12257635819.0
"Quỹ khen thưởng, phúc lợi Doanh thu chưa thực hiện dài hạn","Băng cân đối kế toán hợp nhất > Quỹ khen thưởng, phúc lợi Doanh thu chưa thực hiện dài hạn","Quỹ khen thưởng, phúc lợi Doanh thu chưa thực hiện dài hạn",336,-,76.920.279.870,76.920.279.870,336.0,,76920279870.0,76920279870.0
Quỹ đầu tư phát triển Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,Băng cân đối kế toán hợp nhất > Quỹ đầu tư phát triển Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,Quỹ đầu tư phát triển Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,418,98.809.754.871,(18.894.562),98.790.860.309,418.0,98809754871.0,-18894562.0,98790860309.0
Quỹ đầu tư phát triển Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,Băng cân đối kế toán hợp nhất > Quỹ đầu tư phát triển Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,Quỹ đầu tư phát triển Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,421a,179.510.504.253,1.544.199.715,181.054.703.968,,179510504253.0,1544199715.0,181054703968.0
