row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,265.831.248.833,527.966.139.065,20.520.672.436,173.524.589.497,17.160.795.473,240.784.293.813,1.245.787.739.117,265831248833.0,527966139065.0,20520672436.0,173524589497.0,17160795473.0,240784293813.0,1245787739117.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,265.831.248.833,527.966.139.065,20.520.672.436,173.524.589.497,17.160.795.473,240.784.293.813,1.245.787.739.117,265831248833.0,527966139065.0,20520672436.0,173524589497.0,17160795473.0,240784293813.0,1245787739117.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,204.101.365.025,129.827.164.842,519.659.265,(2.746.730.408),(8.298.833.700),53.818.418.732,377.221.043.756,204101365025.0,129827164842.0,519659265.0,-2746730408.0,-8298833700.0,53818418732.0,377221043756.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,377.221.043.756,,,,,,,377221043756.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,5.216.801.998,,,,,,,5216801998.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(114.073.655.337),,,,,,,-114073655337.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",-,-,-,-,-,-,-,,,,,,,
Thu nhập khác,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,,,,22.321.035.526,,,,,,,22321035526.0
Chi phí khác,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,,,,(8.361.928.328),,,,,,,-8361928328.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hiện hành",Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(49.336.901.109),,,,,,,-49336901109.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,232.986.396.506,,,,,,,232986396506.0
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,38.310.972.587,2.114.510.433,14.887.533,529.655.805,-,3.397.977.842,44.368.004.200,38310972587.0,2114510433.0,14887533.0,529655805.0,,3397977842.0,44368004200.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,47.349.328.831,871.746.701,4.056.862.510,164.911.311,-,3.793.496.039,56.236.345.392,47349328831.0,871746701.0,4056862510.0,164911311.0,,3793496039.0,56236345392.0
Tổng giá trị các khoản chi phí lớn không bằng tiên (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiên (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiên (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),-,-,-,-,-,-,-,,,,,,,
