row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển sang vay ngắn hạn,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển sang vay ngắn hạn,numeric__Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,219.750.000.000,49.910.194.300,(164.751.600.000),104.908.594.300,219750000000.0,49910194300.0,-164751600000.0,104908594300.0
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,1.000.000.000.000,-,(1.000.000.000.000),-,1000000000000.0,,-1000000000000.0,
Cộng,Cộng,Cộng,1.219.750.000.000,49.910.194.300,(1.164.751.600.000),104.908.594.300,1219750000000.0,49910194300.0,-1164751600000.0,104908594300.0
