row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,503.316.058.916,6.560.406.115.731,166.420.664.827,27.679.998.375,486.232.318.315,77.173.452.536,7.821.228.608.700,503316058916.0,6560406115731.0,166420664827.0,27679998375.0,486232318315.0,77173452536.0,7821228608700.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,-,-,-,-,-,-,-,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,316.967.344.892,,,,,,,316967344892.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,,,,8.138.195.953.592,,,,,,,8138195953592.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,18.612.665.749,4.540.920.692.850,196.541.679.804,112.493.929.298,48.972.147.185,50.130.710.219,4.967.671.825.105,18612665749.0,4540920692850.0,196541679804.0,112493929298.0,48972147185.0,50130710219.0,4967671825105.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,-,-,-,-,-,-,-,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.433.812.841.793,,,,,,,1433812841793.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.401.484.666.898,,,,,,,6401484666898.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,542.530.873.569,6.509.386.707.953,186.115.966.545,83.469.147.484,493.667.742.016,58.283.364.003,7.873.453.801.570,542530873569.0,6509386707953.0,186115966545.0,83469147484.0,493667742016.0,58283364003.0,7873453801570.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,158.313.525.339,,,,,,,158313525339.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,8.031.767.326.909,,,,,,,8031767326909.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,19.172.957.092,4.918.211.030.031,209.055.691.231,185.412.355.242,-,10.313.539.580,5.342.165.573.176,19172957092.0,4918211030031.0,209055691231.0,185412355242.0,,10313539580.0,5342165573176.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.028.362.733.456,,,,,,,1028362733456.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,6.370.528.306.632,,,,,,,6370528306632.0
