row_label_raw,row_label_full,col_0,Số cuối năm > Thời gian quá hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số đầu năm > Thời gian quá hạn,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,numeric__Số cuối năm > Thời gian quá hạn,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số đầu năm > Thời gian quá hạn,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi
Các bên liên quan,Các bên liên quan,Các bên liên quan,,135.655.392.800,135.655.392.800,,83.576.754.000,83.576.754.000,,135655392800.0,135655392800.0,,83576754000.0,83576754000.0
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,7.492.324.000,7.492.324.000,Dưới 06 tháng,3.692.815.000,3.692.815.000,,7492324000.0,7492324000.0,,3692815000.0,3692815000.0
Phải thu tiền bán bất động sản,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 06 tháng đến 01 năm,4.404.126.000,4.404.126.000,Từ 06 tháng đến 01 năm,711.311.000,711.311.000,,4404126000.0,4404126000.0,,711311000.0,711311000.0
Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 01 đến 02 năm,-,-,Từ 01 đến 02 năm,-,-,,,,,,
Công ty Cổ phần Phát triển Đồ thị,Công ty Cổ phần Phát triển Đồ thị,Công ty Cổ phần Phát triển Đồ thị,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Công ty Cổ phần Phát triển Đồ thị > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,-,-,Dưới 06 tháng,54.586.314.000,54.586.314.000,,,,,54586314000.0,54586314000.0
Phải thu tiền bán bất động sản,Công ty Cổ phần Phát triển Đồ thị > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 06 tháng đến 01 năm,54.586.314.000,54.586.314.000,Từ 06 tháng đến 01 năm,24.586.314.000,24.586.314.000,,54586314000.0,54586314000.0,,24586314000.0,24586314000.0
Phải thu tiền bán bất động sản,Công ty Cổ phần Phát triển Đồ thị > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 01 đến 02 năm,69.172.628.800,69.172.628.800,Từ 01 đến 02 năm,-,-,,69172628800.0,69172628800.0,,,
Các tổ chức và cá nhân khác,Công ty Cổ phần Phát triển Đồ thị > Các tổ chức và cá nhân khác,Các tổ chức và cá nhân khác,,429.353.370.210,429.353.370.210,,430.390.920.831,430.390.920.831,,429353370210.0,429353370210.0,,430390920831.0,430390920831.0
Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 01 đến 02 năm,-,-,Từ 01 đến 02 năm,264.375.000,264.375.000,,,,,264375000.0,264375000.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,63.707.466.242,63.707.466.242,Dưới 06 tháng,61.473.983.239,61.473.983.239,,63707466242.0,63707466242.0,,61473983239.0,61473983239.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 06 tháng đến 01 năm,38.210.356.999,38.210.356.999,Từ 06 tháng đến 01 năm,47.137.289.600,47.137.289.600,,38210356999.0,38210356999.0,,47137289600.0,47137289600.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 01 đến 02 năm,82.588.296.720,82.588.296.720,Từ 01 đến 02 năm,98.033.293.391,98.033.293.391,,82588296720.0,82588296720.0,,98033293391.0,98033293391.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 02 đến 03 năm,78.243.438.637,78.243.438.637,Từ 02 đến 03 năm,98.373.256.416,98.373.256.416,,78243438637.0,78243438637.0,,98373256416.0,98373256416.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Trên 03 năm,166.603.811.612,166.603.811.612,Trên 03 năm,125.108.723.185,125.108.723.185,,166603811612.0,166603811612.0,,125108723185.0,125108723185.0
Cộng,Phải thu các tổ chức và cá nhân khác > Cộng,Cộng,,565.008.763.010,565.008.763.010,,513.967.674.831,513.967.674.831,,565008763010.0,565008763010.0,,513967674831.0,513967674831.0
