row_label_raw,row_label_full,col_0,Lãi suất,Số cuối năm > Kỳ hạn còn lại,Số cuối năm > Giá trị,Lãi suất_1,Số đầu năm > Kỳ hạn còn lại,Số đầu năm > Giá trị,numeric__Lãi suất,numeric__Số cuối năm > Kỳ hạn còn lại,numeric__Số cuối năm > Giá trị,numeric__Lãi suất_1,numeric__Số đầu năm > Kỳ hạn còn lại,numeric__Số đầu năm > Giá trị
Phát hành theo mênh giá,Phát hành theo mênh giá,Phát hành theo mênh giá,,,1.000.000.000.000,,,,,,1000000000000.0,,,
Phát hành cho Ngân hàngTMCP Tiên Phong\( ^{(a)} \),Phát hành cho Ngân hàngTMCP Tiên Phong\( ^{(a)} \),Phát hành cho Ngân hàngTMCP Tiên Phong\( ^{(a)} \),"10,775 %/năm",09 tháng,206.000.000.000,,,-,,,206000000000.0,,,
Phát hành cho các đối tượngkhác\( ^{(a)} \),Phát hành cho các đối tượngkhác\( ^{(a)} \),Phát hành cho các đối tượngkhác\( ^{(a)} \),"10,775 %/năm",09 tháng,394.000.000.000,,,-,,,394000000000.0,,,
Phát hành cho Công ty Cổ phầnChứng khoán Asean\( ^{(b)} \),Phát hành cho Công ty Cổ phầnChứng khoán Asean\( ^{(b)} \),Phát hành cho Công ty Cổ phầnChứng khoán Asean\( ^{(b)} \),"10,775 %/năm",10 tháng,400.000.000.000,,,-,,,400000000000.0,,,
Cộng,Cộng,Cộng,,,1.000.000.000.000,,,-,,,1000000000000.0,,,
