row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,255.079.937.899,284.842.371.057,16.729.277.556,181.667.405.159,45.792.237.077,187.131.468.084,971.242.696.832,255079937899.0,284842371057.0,16729277556.0,181667405159.0,45792237077.0,187131468084.0,971242696832.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,255.079.937.899,284.842.371.057,16.729.277.556,181.667.405.159,45.792.237.077,187.131.468.084,971.242.696.832,255079937899.0,284842371057.0,16729277556.0,181667405159.0,45792237077.0,187131468084.0,971242696832.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,161.714.020.264,22.389.219.551,1.726.565.371,(7.057.506.385),8.811.261.809,28.513.951.878,216.097.512.488,161714020264.0,22389219551.0,1726565371.0,-7057506385.0,8811261809.0,28513951878.0,216097512488.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,216.097.512.488,,,,,,,216097512488.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,3.284.706.792,,,,,,,3284706792.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,-,,,,,,,
"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết","Phân lãi hoặc lỗ trong công ty liên doanh, liên kết",-,-,-,-,-,-,-,,,,,,,
Thu nhập khác,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,,,,11.111.443.586,,,,,,,11111443586.0
Chi phí khác,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,,,,(6.230.718.873),,,,,,,-6230718873.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,"Phân lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hiện hành",Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(38.437.665.750),,,,,,,-38437665750.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,185.825.278.243,,,,,,,185825278243.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,16.929.878.880,111.326.147,1.939.030,123.666.398,-,776.359.900,17.943.170.355,16929878880.0,111326147.0,1939030.0,123666398.0,,776359900.0,17943170355.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,37.283.834.324,581.511.908,4.860.434.078,210.951.422,-,5.140.314.989,48.077.046.721,37283834324.0,581511908.0,4860434078.0,210951422.0,,5140314989.0,48077046721.0
Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),-,-,-,-,-,-,-,,,,,,,
