row_label_raw,row_label_full,Năm 2023,Buôn bán linh kiện điện tử VND,Đá Granitte VND,Điện thương phẩm VND,"Bán gỗ, thành phẩm từ gỗ VND",Dịch vụ trạm thu phí BOT VND,Cho thuê tài sản VND,Cộng VND,numeric__Buôn bán linh kiện điện tử VND,numeric__Đá Granitte VND,numeric__Điện thương phẩm VND,"numeric__Bán gỗ, thành phẩm từ gỗ VND",numeric__Dịch vụ trạm thu phí BOT VND,numeric__Cho thuê tài sản VND,numeric__Cộng VND
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,573.364.446.360,24.199.785.000,68.902.271.366,2.198.322.000,449.011.520.513,4.657.909.091,1.122.334.254.330,573364446360.0,24199785000.0,68902271366.0,2198322000.0,449011520513.0,4657909091.0,1122334254330.0
Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,573.364.446.360,24.199.785.000,68.902.271.366,2.198.322.000,449.011.520.513,4.657.909.091,1.122.334.254.330,573364446360.0,24199785000.0,68902271366.0,2198322000.0,449011520513.0,4657909091.0,1122334254330.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,544.220.192.736,24.829.706.089,42.764.347.587,55.132.230.381,228.227.213.945,4.310.102.114,899.483.792.852,544220192736.0,24829706089.0,42764347587.0,55132230381.0,228227213945.0,4310102114.0,899483792852.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,29.144.253.624,(629.921.089),26.137.923.779,(52.933.908.381),220.784.306.568,347.806.977,222.850.461.478,29144253624.0,-629921089.0,26137923779.0,-52933908381.0,220784306568.0,347806977.0,222850461478.0
Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,,,,,,,665.813.593.509,,,,,,,665813593509.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,(442.963.132.031),,,,,,,-442963132031.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,237.576.994.402,,,,,,,237576994402.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,353.451.871.432,,,,,,,353451871432.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,,,,47.555.317,,,,,,,47555317.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,9.657.959.020,,,,,,,9657959020.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,,12.684.707.173,,,,,,,12684707173.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,10.028.178.521,,,,,,,10028178521.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,6.894.650.781,,,,,,,6894650781.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,(578.740.031.199),,,,,,,-578740031199.0
Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,,,,5.051.949.152.577,,,,,,,5051949152577.0
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,4.524.434.306.651,,,,,,,4524434306651.0
