row_label_raw,row_label_full,TT,Bên liên quan,Mối quan hệ,numeric__Bên liên quan,numeric__Mối quan hệ
1,1,1,Công ty CP Năng lượng Tân Thượng,Chung thành viên lãnh đạo,,
2,2,2,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty liên kết,,
3,3,3,Công ty CP Dịch vụ Công Cộng Đức Long Bảo Lộc,Công ty góp vốn khác,,
4,4,4,Công ty CP Đầu tư Xây dựng Đức Long Gia Lai,Chung thành viên lãnh đạo,,
5,5,5,Công ty CP Tập đoàn Alpha Seven,Chung cổ đông lớn,,
6,6,6,Ông Bùi Pháp,Chủ tịch HĐQT,,
7,7,7,Bà Nguyễn Thị Hương,Người có liên quan đến Ông Bùi Pháp,,
8,8,8,Ông Võ Mộng Hùng,"Thành viên HĐQT,Trường ban kiểm toán nội bộ",,
