row_label_raw,row_label_full,Bà Phan Thị Ngọc Anh,Trường Ban,numeric__Trường Ban
Bà Đặng Thị Hà,Bà Đặng Thị Hà,Bà Đặng Thị Hà,Thành viên,
Bà Trần Thị Như Hạnh,Bà Trần Thị Như Hạnh,Bà Trần Thị Như Hạnh,Thành viên,
