row_label_raw,row_label_full,col_0,31/12/2024VND,Số phải nộp trong năm VND,Số đã nộp trong năm VND,Thay đổi do chênh lệch tỷ giá VND,Giảm do thanh lý Công ty con VND,01/01/2024VND,numeric__31/12/2024VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Thay đổi do chênh lệch tỷ giá VND,numeric__Giảm do thanh lý Công ty con VND,numeric__01/01/2024VND
Phải nộp,Phải nộp,Phải nộp,37.477.100.397,82.162.123.025,63.080.711.966,1.447.340.417,57.058.307.524,74.006.656.445,37477100397.0,82162123025.0,63080711966.0,1447340417.0,57058307524.0,74006656445.0
- Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,3.620.012.719,39.477.959.495,41.524.279.830,-,-,5.666.333.054,3620012719.0,39477959495.0,41524279830.0,,,5666333054.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,11.052.460.340,16.758.453.499,8.842.902.627,1.447.340.417,57.058.307.524,58.747.876.575,11052460340.0,16758453499.0,8842902627.0,1447340417.0,57058307524.0,58747876575.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,76.664.573,598.188.023,536.937.190,-,-,15.413.740,76664573.0,598188023.0,536937190.0,,,15413740.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,319.771.517,4.697.971.239,4.729.802.474,-,-,351.602.752,319771517.0,4697971239.0,4729802474.0,,,351602752.0
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",12.496.270.417,13.084.510.888,4.866.688.455,-,-,4.278.447.984,12496270417.0,13084510888.0,4866688455.0,,,4278447984.0
"- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",9.911.920.831,7.545.039.881,2.580.101.390,-,-,4.946.982.340,9911920831.0,7545039881.0,2580101390.0,,,4946982340.0
Phải thu,Phải thu,Phải thu,725.088.703,774.357.014,1.381.630.233,-,-,117.815.484,725088703.0,774357014.0,1381630233.0,,,117815484.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,707.955.544,758.153.345,1.351.958.205,-,-,114.150.684,707955544.0,758153345.0,1351958205.0,,,114150684.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,163.314,15.000.456,12.746.425,-,-,2.417.345,163314.0,15000456.0,12746425.0,,,2417345.0
- Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,11.264.227,-,11.264.227,-,-,-,11264227.0,,11264227.0,,,
"- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",1.247.455,653.213,653.213,-,-,1.247.455,1247455.0,653213.0,653213.0,,,1247455.0
"- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",4.458.163,550.000,5.008.163,-,-,-,4458163.0,550000.0,5008163.0,,,
