row_label_raw,row_label_full,Số dư đầu năm > - Phân bổ trong năm,Năm 2024VND > 163.135.543.136 > (39.501.686.423),Năm 2023VND > 210.162.922.652 > (49.104.080.459),numeric__Năm 2024VND > 163.135.543.136 > (39.501.686.423),numeric__Năm 2023VND > 210.162.922.652 > (49.104.080.459)
- Ảnh hưởng do chuyển đổi tỷ giá,- Ảnh hưởng do chuyển đổi tỷ giá,- Ảnh hưởng do chuyển đổi tỷ giá,1.708.655.805,2.076.700.943,1708655805.0,2076700943.0
- Thanh lý Công ty con,- Thanh lý Công ty con,- Thanh lý Công ty con,(28.841.263.198),-,-28841263198.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,96.501.249.320,163.135.543.136,96501249320.0,163135543136.0
