row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2024 VND,Năm 2023 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024 VND,numeric__Năm 2023 VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,1.058.723.073.994,1.122.336.737.017,1.0,,1058723073994.0,1122336737017.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,1.185.485,2.482.687,2.0,,1185485.0,2482687.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,10,26,1.058.721.888.509,1.122.334.254.330,10.0,26.0,1058721888509.0,1122334254330.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,27,742.143.962.387,899.483.792.852,11.0,27.0,742143962387.0,899483792852.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,316.577.926.122,222.850.461.478,20.0,,316577926122.0,222850461478.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,302.072.898.747,237.576.994.402,21.0,28.0,302072898747.0,237576994402.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,277.781.669.921,353.451.871.432,22.0,29.0,277781669921.0,353451871432.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,287.399.089.090,353.527.402.684,23.0,,287399089090.0,353527402684.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(17.768.830),47.555.317,24.0,,-17768830.0,47555317.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,30,6.996.486.968,6.824.743.217,25.0,30.0,6996486968.0,6824743217.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,374.123.722.931,658.988.850.292,26.0,30.0,374123722931.0,658988850292.0
Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,30,,(40.268.823.782),(558.790.453.744),30.0,,-40268823782.0,-558790453744.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,31,321.008.259.964,9.657.959.020,31.0,31.0,321008259964.0,9657959020.0
Chi phí khác,Chi phí khác,Chi phí khác,32,32,19.644.008.743,12.684.707.173,32.0,32.0,19644008743.0,12684707173.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,40,,301.364.251.221,(3.026.748.153),40.0,,301364251221.0,-3026748153.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,,261.095.427.439,(561.817.201.897),50.0,,261095427439.0,-561817201897.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,34,17.516.606.844,10.028.178.521,51.0,34.0,17516606844.0,10028178521.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,,(452.387.860),6.894.650.781,52.0,,-452387860.0,6894650781.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,244.031.208.456,(578.740.031.199),60.0,,244031208456.0,-578740031199.0
Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,Lợi nhuận sau thuế của cổ đông của công ty mẹ,61,,207.913.506.193,(594.601.137.150),61.0,,207913506193.0,-594601137150.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,36.117.702.263,15.861.105.951,62.0,,36117702263.0,15861105951.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,35,695,(1.987),70.0,35.0,695.0,-1987.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,35,695,(1.987),71.0,35.0,695.0,-1987.0
