row_label_raw,row_label_full,Người cho vay > Các cá nhân,Số cuối năm(VND) > 8.248.325.481,Ngày đáo hạn > Từ ngày 1 tháng1 năm 2018 đếnngày 9 tháng 11năm 2018,"Lãi suất(%/năm) > Từ 6,5đến 10,0",Chỉ tiết tài sảnđảm bảo > Tín chấp,numeric__Số cuối năm(VND) > 8.248.325.481,numeric__Ngày đáo hạn > Từ ngày 1 tháng1 năm 2018 đếnngày 9 tháng 11năm 2018,"numeric__Lãi suất(%/năm) > Từ 6,5đến 10,0",numeric__Chỉ tiết tài sảnđảm bảo > Tín chấp
Nhân viên công ty,Nhân viên công ty,Nhân viên công ty,1.845.443.152,Không xác định,"7,0",Tín chấp,1845443152.0,,7.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.093.768.633,,,,10093768633.0,,,
