row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,44.896.866.270,1.441.955.995.497,35.266.806.451,14.101.115.228,1.536.220.783.446,44896866270.0,1441955995497.0,35266806451.0,14101115228.0,1536220783446.0
Mua mới,Nguyên giá > Mua mới,Mua mới,4.425.111.293,524.435.891.698,17.041.036.910,4.234.847.080,550.136.886.981,4425111293.0,524435891698.0,17041036910.0,4234847080.0,550136886981.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,7.194.490.790,2.344.559.504,-,-,9.539.050.294,7194490790.0,2344559504.0,,,9539050294.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(78.423.637.786),-,-,(78.423.637.786),,-78423637786.0,,,-78423637786.0
Giảm do thay đổi quyền sở hữu trong công ty con,Nguyên giá > Giảm do thay đổi quyền sở hữu trong công ty con,Giảm do thay đổi quyền sở hữu trong công ty con,(1.031.310.091),(7.616.883.380),(956.541.636),-,(9.604.735.107),-1031310091.0,-7616883380.0,-956541636.0,,-9604735107.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,-,(274.300.000),(274.300.000),,,,-274300000.0,-274300000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,55.485.158.262,1.882.695.925.533,51.351.301.725,18.061.662.308,2.007.594.047.828,55485158262.0,1882695925533.0,51351301725.0,18061662308.0,2007594047828.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,554.664.710,77.573.068.636,5.563.420.343,4.426.188.861,88.117.342.550,554664710.0,77573068636.0,5563420343.0,4426188861.0,88117342550.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(6.586.185.589),(465.894.178.415),(13.938.539.554),(7.774.350.586),(494.193.254.144),-6586185589.0,-465894178415.0,-13938539554.0,-7774350586.0,-494193254144.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(4.570.538.814),(192.786.907.710),(4.019.006.466),(1.925.606.055),(203.302.059.045),-4570538814.0,-192786907710.0,-4019006466.0,-1925606055.0,-203302059045.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,64.021.350.186,-,-,64.021.350.186,,64021350186.0,,,64021350186.0
Giảm do thay đổi quyền sở hữu trong công ty con,Giá trị khấu hao lũy kế > Giảm do thay đổi quyền sở hữu trong công ty con,Giảm do thay đổi quyền sở hữu trong công ty con,874.859.371,2.092.742.420,432.997.656,-,3.400.599.447,874859371.0,2092742420.0,432997656.0,,3400599447.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,-,-,17.142.759,17.142.759,,,,17142759.0,17142759.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(10.281.865.032),(592.566.993.519),(17.524.548.364),(9.682.813.882),(630.056.220.797),-10281865032.0,-592566993519.0,-17524548364.0,-9682813882.0,-630056220797.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,38.310.680.681,976.061.817.082,21.328.266.897,6.326.764.642,1.042.027.529.302,38310680681.0,976061817082.0,21328266897.0,6326764642.0,1042027529302.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,45.203.293.230,1.290.128.932.014,33.826.753.361,8.378.848.426,1.377.537.827.031,45203293230.0,1290128932014.0,33826753361.0,8378848426.0,1377537827031.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 22),7.119.805.426,261.605.776.434,-,-,268.725.581.860,7119805426.0,261605776434.0,,,268725581860.0
