row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành,Năm nay > 11.299.518.616.940 > 3.697.364.262.757,VNDNăm trước > 6.453.108.649.117 > 2.796.255.859.812,numeric__Năm nay > 11.299.518.616.940 > 3.697.364.262.757,numeric__VNDNăm trước > 6.453.108.649.117 > 2.796.255.859.812
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,14.996.882.879.697,9.249.364.508.929,14996882879697.0,9249364508929.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối kỳ,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối kỳ,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối kỳ,16.430.304.813.697,7.721.126.331.479,16430304813697.0,7721126331479.0
