row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,4.915.666.270,8.541.684.136,(10.813.889.974),2.643.460.432,4915666270.0,8541684136.0,-10813889974.0,2643460432.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,496.434.813,-,(444.045.112),52.389.701,496434813.0,,-444045112.0,52389701.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,5.412.101.083,8.541.684.136,(11.257.935.086),2.695.850.133,5412101083.0,8541684136.0,-11257935086.0,2695850133.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,46.059.651.048,210.435.925.995,(143.582.935.106),112.912.641.937,46059651048.0,210435925995.0,-143582935106.0,112912641937.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,40.485.693.166,433.708.322.758,(326.167.317.322),148.026.698.602,40485693166.0,433708322758.0,-326167317322.0,148026698602.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.241.933.771,39.710.841.303,(38.554.401.830),3.398.373.244,2241933771.0,39710841303.0,-38554401830.0,3398373244.0
Khác,Phải nộp > Khác,Khác,2.024.808.474,25.928.108.475,(25.999.232.385),1.953.684.564,2024808474.0,25928108475.0,-25999232385.0,1953684564.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,90.812.086.459,709.783.198.531,(534.303.886.643),266.291.398.347,90812086459.0,709783198531.0,-534303886643.0,266291398347.0
