row_label_raw,row_label_full,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
617.152.109.779,617.152.109.779,617.152.109.779,-,856.869.396.242,-,,856869396242.0,
403.603.928.939,403.603.928.939,403.603.928.939,-,693.864.008.743,-,,693864008743.0,
109.320.397.763,109.320.397.763,109.320.397.763,-,108.825.256.676,-,,108825256676.0,
3.900.686.558,3.900.686.558,3.900.686.558,-,22.470.656.668,-,,22470656668.0,
100.327.096.519,100.327.096.519,100.327.096.519,-,31.709.474.155,-,,31709474155.0,
465.877.942.424,465.877.942.424,465.877.942.424,-,271.432.682.684,-,,271432682684.0,
75.166.223.967,75.166.223.967,75.166.223.967,-,73.529.870.786,(1.325.454.681),,73529870786.0,-1325454681.0
24.227.081.712,24.227.081.712,24.227.081.712,(14.086.845.148),29.137.754.110,(7.687.136.720),-14086845148.0,29137754110.0,-7687136720.0
10.690.484.397,10.690.484.397,10.690.484.397,(14.982.103),6.152.237.950,(385.836.821),-14982103.0,6152237950.0,-385836821.0
844.473.728,844.473.728,844.473.728,-,1.147.348.210,-,,1147348210.0,
1.193.958.316.007,1.193.958.316.007,1.193.958.316.007,(14.101.827.251),1.238.269.289.982,(9.398.428.222),-14101827251.0,1238269289982.0,-9398428222.0
