row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Ông Lê Quốc Duy,Phải thu về cho vay ngắn hạn > Ông Lê Quốc Duy,Ông Lê Quốc Duy,Bên liên quan,Cho vay,5.992.960.000,895.000.000,,,5992960000.0,895000000.0
Ông Lê Việt Hùng,Phải thu về cho vay ngắn hạn > Ông Lê Việt Hùng,Ông Lê Việt Hùng,Bên liên quan,Cho vay,2.594.320.000,895.000.000,,,2594320000.0,895000000.0
,,,,,8.587.280.000,1.790.000.000,,,8587280000.0,1790000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Phải thu ngắn hạn khác > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi trả hộ,-,5.463.990,,,,5463990.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Phải thu ngắn hạn khác > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi trả hộ,31.324.471,-,,,31324471.0,
Công ty TNHH Tiến Phát Đông Bắc,Phải thu ngắn hạn khác > Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty liên kết,Chi trả hộ,10.940.000,-,,,10940000.0,
,,,,,42.264.471,5.463.990,,,42264471.0,5463990.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Người mua trả tiền trước ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phíthầu phụ,45.000.000,-,,,45000000.0,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phíthầu phụ,1.412.266.868,-,,,1412266868.0,
,,,,,1.457.266.868,-,,,1457266868.0,
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phíthầu phụ,37.554.586.181,39.616.446.595,,,37554586181.0,39616446595.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Phải trả người bán ngắn hạn > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phíthầu phụ,138.748.611.866,-,,,138748611866.0,
Công ty Cổ phầnChứng khoán Sen Vàng,Phải trả người bán ngắn hạn > Công ty Cổ phầnChứng khoán Sen Vàng,Công ty Cổ phầnChứng khoán Sen Vàng,Công ty liên kết,Chi phíthầu phụ,200.000.000,-,,,200000000.0,
,,,,,176.503.198.047,39.616.446.595,,,176503198047.0,39616446595.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty liên kết,Chi phíthầu phụ,59.222.841.462,86.189.297.522,,,59222841462.0,86189297522.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Chi phí phải trả ngắn hạn > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Chi phíthầu phụ,4.962.750.495,-,,,4962750495.0,
,,,,,64.185.591.957,86.189.297.522,,,64185591957.0,86189297522.0
