row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,3.764.589.899,5.304.979.531,(1.540.389.632),(3.678.873.032),3764589899.0,5304979531.0,-1540389632.0,-3678873032.0
Lỗ nằm trước chuyển sang của các công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ nằm trước chuyển sang của các công ty con,Lỗ nằm trước chuyển sang của các công ty con,14.510.833.142,12.234.726.716,2.276.106.426,1.620.612.225,14510833142.0,12234726716.0,2276106426.0,1620612225.0
Chi phí dự án chưa ghi nhận doanh thu,Tài sản thuế thu nhập hoãn lại > Chi phí dự án chưa ghi nhận doanh thu,Chi phí dự án chưa ghi nhận doanh thu,10.302.110.284,-,10.302.110.284,-,10302110284.0,,10302110284.0,
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,4.874.741.133,4.010.340.467,864.400.666,258.089.362,4874741133.0,4010340467.0,864400666.0,258089362.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,2.712.984.613,1.584.582.834,1.128.401.779,1.537.427.344,2712984613.0,1584582834.0,1128401779.0,1537427344.0
Thanh lý công ty con,Tài sản thuế thu nhập hoãn lại > Thanh lý công ty con,Thanh lý công ty con,-,-,40.378.000,-,,,40378000.0,
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,28.432.963,47.487.410,(19.054.447),26.546.648,28432963.0,47487410.0,-19054447.0,26546648.0
"Chi phí công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",-,-,-,61.246.159,,,,61246159.0
,,,36.193.692.034,23.182.116.958,13.051.953.076,(174.951.294),36193692034.0,23182116958.0,13051953076.0,-174951294.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng khoản đầu tư vào các công ty con và công ty liên kết,Thuế thu nhập hoãn lại phải trả > Dự phòng khoản đầu tư vào các công ty con và công ty liên kết,Dự phòng khoản đầu tư vào các công ty con và công ty liên kết,(31.342.497.316),(29.734.380.735),(1.608.116.581),(13.135.293.552),-31342497316.0,-29734380735.0,-1608116581.0,-13135293552.0
Thu nhập chưa tính thuế từ hoạt động kinh doanh cơ sở hạ tầng,Thuế thu nhập hoãn lại phải trả > Thu nhập chưa tính thuế từ hoạt động kinh doanh cơ sở hạ tầng,Thu nhập chưa tính thuế từ hoạt động kinh doanh cơ sở hạ tầng,(54.412.318.949),(51.001.812.693),(3.410.506.256),(34.967.199.126),-54412318949.0,-51001812693.0,-3410506256.0,-34967199126.0
,,,(85.754.816.265),(80.736.193.428),(5.018.622.837),(48.102.492.678),-85754816265.0,-80736193428.0,-5018622837.0,-48102492678.0
Thu nhập (chi phí) thuế thu nhập hoãn lại,Thuế thu nhập hoãn lại phải trả > Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,Thu nhập (chi phí) thuế thu nhập hoãn lại,8.033.330.239,(48.277.443.972),,,8033330239.0,-48277443972.0
