row_label_raw,row_label_full,Công ty TNHH Apple Việt Nam > Công ty TNHH LG Electronics Việt Nam,Số cuối năm > 1.255.858.258.901,VND Số đầu năm > 402.822.187.799,numeric__Số cuối năm > 1.255.858.258.901,numeric__VND Số đầu năm > 402.822.187.799
Hải Phòng,Hải Phòng,Hải Phòng,467.187.312.027,496.800.457.769,467187312027.0,496800457769.0
Công ty TNHH Panasonic Việt Nam,Công ty TNHH Panasonic Việt Nam,Công ty TNHH Panasonic Việt Nam,419.773.816.080,517.558.477.525,419773816080.0,517558477525.0
Công ty TNHH Điện tử Samsung HCMC CE Complex,Công ty TNHH Điện tử Samsung HCMC CE Complex,Công ty TNHH Điện tử Samsung HCMC CE Complex,293.593.305.321,292.484.357.461,293593305321.0,292484357461.0
Công Ty TNHH Điện Máy AQUA Việt Nam,Công Ty TNHH Điện Máy AQUA Việt Nam,Công Ty TNHH Điện Máy AQUA Việt Nam,273.227.030.861,342.712.136.863,273227030861.0,342712136863.0
Công ty TNHH Sony Electronics Việt Nam,Công ty TNHH Sony Electronics Việt Nam,Công ty TNHH Sony Electronics Việt Nam,231.271.512.349,259.545.362.937,231271512349.0,259545362937.0
Công ty Samsung Electronics Việt Nam Thái Nguyên,Công ty Samsung Electronics Việt Nam Thái Nguyên,Công ty Samsung Electronics Việt Nam Thái Nguyên,178.491.598.957,690.614.842.954,178491598957.0,690614842954.0
Công ty TNHH Sản phẩm Tiểu dùng Toshiba Việt Nam,Công ty TNHH Sản phẩm Tiểu dùng Toshiba Việt Nam,Công ty TNHH Sản phẩm Tiểu dùng Toshiba Việt Nam,173.318.750.717,371.491.475.668,173318750717.0,371491475668.0
Công ty Cổ phần Thế Giới Số,Công ty Cổ phần Thế Giới Số,Công ty Cổ phần Thế Giới Số,83.422.581.626,693.931.576.158,83422581626.0,693931576158.0
Công ty Cổ phần Daikin Air Conditioning (Vietnam),Công ty Cổ phần Daikin Air Conditioning (Vietnam),Công ty Cổ phần Daikin Air Conditioning (Vietnam),38.107.934.424,108.900.480.406,38107934424.0,108900480406.0
Khác,Khác,Khác,5.331.575.230.550,8.002.913.416.194,5331575230550.0,8002913416194.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.745.827.331.813,12.179.774.771.734,8745827331813.0,12179774771734.0
