row_label_raw,row_label_full,Công ty Tài chính TNHH MTV Home Credit Việt Nam > Ngân hàng TMCP Việt Nam Thịnh Vượng,Số cuối năm > 76.446.683.743 > 5.377.060.346,VND Số đầu năm > 131.208.515.250 > 131.436.750.975,numeric__Số cuối năm > 76.446.683.743 > 5.377.060.346,numeric__VND Số đầu năm > 131.208.515.250 > 131.436.750.975
Khác,Khác,Khác,96.237.621.162,121.591.312.007,96237621162.0,121591312007.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,178.061.365.251,384.236.578.232,178061365251.0,384236578232.0
