row_label_raw,row_label_full,col_0,Bảng cân đốikế toán hợp nhất,Bảng cân đốikế toán hợp nhất_1,Báo cáo kết quả hoạt độngkinh doanh hợp nhất,Báo cáo kết quả hoạt độngkinh doanh hợp nhất_1,numeric__Bảng cân đốikế toán hợp nhất,numeric__Bảng cân đốikế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt độngkinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt độngkinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,72.410.732.281,136.567.304.759,(64.156.572.478),35.730.094.821,72410732281.0,136567304759.0,-64156572478.0,35730094821.0
Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,68.173.970.646,60.531.047.922,7.642.922.724,18.126.205.206,68173970646.0,60531047922.0,7642922724.0,18126205206.0
Các khoản chi phí phải trả,Các khoản chi phí phải trả,Các khoản chi phí phải trả,32.676.975.900,137.643.878.122,(104.966.902.222),8.804.226.022,32676975900.0,137643878122.0,-104966902222.0,8804226022.0
Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,15.252.221.566,15.455.522.741,(203.301.175),180.048.875,15252221566.0,15455522741.0,-203301175.0,180048875.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,12.383.835,(29.330.799),41.714.634,(21.955.883),12383835.0,-29330799.0,41714634.0,-21955883.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,188.526.284.228,350.168.422.745,,,188526284228.0,350168422745.0,,
(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(Chi phí) thu nhập thuế thu nhập hoãn lại,(161.642.138.517),62.818.619.041,,,-161642138517.0,62818619041.0
