row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.532.099.870.000,558.110.430.986,(6.040.930.000),(1.443.756.225),10.389.683.597.845,9.280.633.826,15.481.689.846.432,4532099870000.0,558110430986.0,-6040930000.0,-1443756225.0,10389683597845.0,9280633826.0,15481689846432.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.898.869.278.220,2.557.395.670,4.901.426.673.890,,,,,4898869278220.0,2557395670.0,4901426673890.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,222.212.100.000,-,6.040.930.000,-,-,-,228.253.030.000,222212100000.0,,6040930000.0,,,,228253030000.0
Mua cổ phiếu quỹ,Năm trước > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(2.320.000.000),-,-,-,(2.320.000.000),,,-2320000000.0,,,,-2320000000.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,2.376.342.980.000,-,-,-,(2.613.978.712.000),-,(237.635.732.000),2376342980000.0,,,,-2613978712000.0,,-237635732000.0
Chênh lệch tỷ giá,Năm trước > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,6.832.181.524,-,-,6.832.181.524,,,,6832181524.0,,,6832181524.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,7.130.654.950.000,558.110.430.986,(2.320.000.000),5.388.425.299,12.674.574.164.065,11.838.029.496,20.378.245.999.846,7130654950000.0,558110430986.0,-2320000000.0,5388425299.0,12674574164065.0,11838029496.0,20378245999846.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,7.130.654.950.000,558.110.430.986,(2.320.000.000),5.388.425.299,12.674.574.164.065,11.838.029.496,20.378.245.999.846,7130654950000.0,558110430986.0,-2320000000.0,5388425299.0,12674574164065.0,11838029496.0,20378245999846.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.099.763.027.305,1.951.397.634,4.101.714.424.939,,,,,4099763027305.0,1951397634.0,4101714424939.0
Phát hành cổ phiếu theo chương trình ESOP (i),Năm nay > Phát hành cổ phiếu theo chương trình ESOP (i),Phát hành cổ phiếu theo chương trình ESOP (i),191.909.700.000,-,-,-,-,-,191.909.700.000,191909700000.0,,,,,,191909700000.0
Hủy cổ phiếu quỹ (i),Năm nay > Hủy cổ phiếu quỹ (i),Hủy cổ phiếu quỹ (i),(2.320.000.000),-,2.320.000.000,-,-,-,-,-2320000000.0,,2320000000.0,,,,
Mua cổ phiếu quỹ,Năm nay > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(5.025.640.000),-,-,-,(5.025.640.000),,,-5025640000.0,,,,-5025640000.0
Phát hành cổ phiếu chia cổ tức (ii),Năm nay > Phát hành cổ phiếu chia cổ tức (ii),Phát hành cổ phiếu chia cổ tức (ii),7.318.548.150.000,-,-,-,(7.318.548.150.000),-,-,7318548150000.0,,,,-7318548150000.0,,
Chia cổ tức tiền (ii),Năm nay > Chia cổ tức tiền (ii),Chia cổ tức tiền (ii),-,-,-,-,(731.854.815.000),-,(731.854.815.000),,,,,-731854815000.0,,-731854815000.0
Góp vốn,Năm nay > Góp vốn,Góp vốn,-,-,-,-,-,718.670.000,718.670.000,,,,,,718670000.0,718670000.0
Chênh lệch tỷ giá,Năm nay > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(3.126.822.209),-,-,(3.126.822.209),,,,-3126822209.0,,,-3126822209.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,14.638.792.800.000,558.110.430.986,(5.025.640.000),2.261.603.090,8.723.934.226.370,14.508.097.130,23.932.581.517.576,14638792800000.0,558110430986.0,-5025640000.0,2261603090.0,8723934226370.0,14508097130.0,23932581517576.0
