row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh chi phí thuế TNDN trích thừa trong những năm trước,Năm nay > 1.794.598.293.892 > (1.599.483.790),VNDNăm trước > 1.637.806.905.395 > (4.831.209.701),numeric__Năm nay > 1.794.598.293.892 > (1.599.483.790),numeric__VNDNăm trước > 1.637.806.905.395 > (4.831.209.701)
Chi phí (thu nhập) thuế TNDN hoãn lại,Chi phí (thu nhập) thuế TNDN hoãn lại,Chi phí (thu nhập) thuế TNDN hoãn lại,161.642.138.517,(62.818.619.041),161642138517.0,-62818619041.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.954.640.948.619,1.570.157.076.653,1954640948619.0,1570157076653.0
