row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,Tạm ứng,-,3.489.211.820,,,,3489211820.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát,Công ty con,Lãi vay,-,353.806.028,,,,353806028.0
Ông Phan Anh Dùng,Ông Phan Anh Dùng,Ông Phan Anh Dùng,Phó Tổng Giám đốc,Tạm ứng,-,110.000.000,,,,110000000.0
,,,,,-,3.953.017.848,,,,3953017848.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (i),Phải thu dài hạn khác (Thuyết minh số 8) > Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (i),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (i),Công ty con,"Lãi vay, xây dựng cơ bản khác",-,722.428.182.751,,,,722428182751.0
Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng,Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng,Công ty con,Lãi cho vay,19.726.028,-,,,19726028.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty con,Góp vốn hợp tác kinh doanh,-,381.000.000.000,,,,381000000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Góp vốn hợp tác kinh doanh,-,200.000.000.000,,,,200000000000.0
,,,,,19.726.028,1.303.428.182.751,,,19726028.0,1303428182751.0
Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),Chi phí phải trả ngắn hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Lãi vay phải trả ngắn hạn,-,2.284.449.599,,,,2284449599.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Bên liên quan khác,Lãi vay phải trả ngắn hạn,-,775.082.727,,,,775082727.0
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Chi phí phải trả ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Bên liên quan khác,Lãi vay phải trả ngắn hạn,1.233.333.333,-,,,1233333333.0,
,,,,,1.233.333.333,3.059.532.326,,,1233333333.0,3059532326.0
Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),Chi phí phải trả dài hạn (Thuyết minh số 17),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Lãi vay phải trả dài hạn,4.676.601.390,1.570.684.931,,,4676601390.0,1570684931.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn Bắc Giang,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Cổ phần Khu Công nghiệp Sài Gòn Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn Bắc Giang,Công ty con,Lãi vay phải trả dài hạn,884.787.633,4.187.988.081,,,884787633.0,4187988081.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Chi phí phải trả dài hạn (Thuyết minh số 17) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Bên liên quan khác,Lãi vay phải trả ngắn hạn,909.879.723,-,,,909879723.0,
,,,,,6.471.268.746,5.758.673.012,,,6471268746.0,5758673012.0
