row_label_raw,row_label_full,Các khoản chỉ phí bán hàng phát sinh trong năm,Năm nay > Các khoản chỉ phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chỉ phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chỉ phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chỉ phí bán hàng phát sinh trong năm
"Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng","Phí tư vấn pháp lý, môi giới bán hàng",45.990.686.956,125.413.599.774,45990686956.0,125413599774.0
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,3.317.314.000,2.122.288.000,3317314000.0,2122288000.0
Khác,Khác,Khác,1.276.610.669,7.915.220.992,1276610669.0,7915220992.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,50.584.611.625,135.451.108.766,50584611625.0,135451108766.0
Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,40.394.524.410,37.573.875.873,40394524410.0,37573875873.0
Chi phí khấu hao tài sản cố định,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,5.712.254.189,5.151.877.260,5712254189.0,5151877260.0
Chi phí dịch vụ mua ngoài,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,28.688.877.113,30.139.543.852,28688877113.0,30139543852.0
Khác,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm > Khác,Khác,9.352.538.709,14.304.233.085,9352538709.0,14304233085.0
TỔNG CỘNG,Các khoản chỉ phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,84.148.194.421,87.169.530.070,84148194421.0,87169530070.0
