row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Công ty Cổ phần Bất Đông Sản Hải Phát,Công ty Cổ phần Bất Đông Sản Hải Phát,Công ty Cổ phần Bất Đông Sản Hải Phát,13.019.970.115,13.019.970.115,13.523.326.473,13.523.326.473,13019970115.0,13019970115.0,13523326473.0,13523326473.0
Công ty Cổ phần Đầu tư và Phát triển Xây dựng Vạn Lộc,Công ty Cổ phần Đầu tư và Phát triển Xây dựng Vạn Lộc,Công ty Cổ phần Đầu tư và Phát triển Xây dựng Vạn Lộc,13.569.718.000,13.569.718.000,3.794.517.450,3.794.517.450,13569718000.0,13569718000.0,3794517450.0,3794517450.0
Công ty Cổ phần Đầu tư Trưởng Phát,Công ty Cổ phần Đầu tư Trưởng Phát,Công ty Cổ phần Đầu tư Trưởng Phát,8.667.795.225,8.667.795.225,5.494.106.040,5.494.106.040,8667795225.0,8667795225.0,5494106040.0,5494106040.0
Công ty Cổ phần Xây lắp Công trình 478,Công ty Cổ phần Xây lắp Công trình 478,Công ty Cổ phần Xây lắp Công trình 478,5.962.236.700,5.962.236.700,1.502.622.700,1.502.622.700,5962236700.0,5962236700.0,1502622700.0,1502622700.0
Công ty TNHH Môi trường Công nghệ Công Thành,Công ty TNHH Môi trường Công nghệ Công Thành,Công ty TNHH Môi trường Công nghệ Công Thành,5.918.523.300,5.918.523.300,13.896.411.000,13.896.411.000,5918523300.0,5918523300.0,13896411000.0,13896411000.0
Công ty TNHH Trọng Cường Công ty Cổ phần Vận tải và Xây dựng Trung Tiến,Công ty TNHH Trọng Cường Công ty Cổ phần Vận tải và Xây dựng Trung Tiến,Công ty TNHH Trọng Cường Công ty Cổ phần Vận tải và Xây dựng Trung Tiến,4.370.439.033,4.370.439.033,5.692.832.511,5.692.832.511,4370439033.0,4370439033.0,5692832511.0,5692832511.0
Công ty Cổ phần Đầu Tư Thương mại Xây dựng và DV Thiên Phú,Công ty Cổ phần Đầu Tư Thương mại Xây dựng và DV Thiên Phú,Công ty Cổ phần Đầu Tư Thương mại Xây dựng và DV Thiên Phú,3.541.883.490,3.541.883.490,7.635.524.264,7.635.524.264,3541883490.0,3541883490.0,7635524264.0,7635524264.0
Công ty Cổ phần Đầu Tư Thương mại Xây dựng và DV Thiên Phú,Công ty Cổ phần Đầu Tư Thương mại Xây dựng và DV Thiên Phú,Công ty Cổ phần Đầu Tư Thương mại Xây dựng và DV Thiên Phú,952.666.400,952.666.400,7.496.662.200,7.496.662.200,952666400.0,952666400.0,7496662200.0,7496662200.0
Phải trả đối tượng khác,Phải trả đối tượng khác,Phải trả đối tượng khác,31.616.537.974,31.616.537.974,32.092.322.335,32.092.322.335,31616537974.0,31616537974.0,32092322335.0,32092322335.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,87.619.770.237,87.619.770.237,91.128.324.973,91.128.324.973,87619770237.0,87619770237.0,91128324973.0,91128324973.0
