row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)",Máy móc thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc (bao gồm chi phí phát triển đất và cơ sở hạ tầng)",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,187.295.371.748,5.535.843.216,36.145.970.893,10.512.242.101,788.381.818,240.277.809.776,187295371748.0,5535843216.0,36145970893.0,10512242101.0,788381818.0,240277809776.0
Tăng trong năm,Nguyên giá: > Tăng trong năm,Tăng trong năm,19.360.826.863,1.310.978.824,-,11.099.000.000,-,31.770.805.687,19360826863.0,1310978824.0,,11099000000.0,,31770805687.0
Tăng/giảm do phân loại lại,Nguyên giá: > Tăng/giảm do phân loại lại,Tăng/giảm do phân loại lại,(267.300.000),-,267.300.000,-,-,-,-267300000.0,,267300000.0,,,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,206.388.898.611,6.846.822.040,36.413.270.893,21.611.242.101,788.381.818,272.048.615.463,206388898611.0,6846822040.0,36413270893.0,21611242101.0,788381818.0,272048615463.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,20.613.269.428,4.464.057.852,8.974.279.812,5.915.703.374,788.381.818,40.755.692.284,20613269428.0,4464057852.0,8974279812.0,5915703374.0,788381818.0,40755692284.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,87.543.148.363,4.994.781.768,19.034.919.938,6.259.640.329,788.381.818,118.620.872.216,87543148363.0,4994781768.0,19034919938.0,6259640329.0,788381818.0,118620872216.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,14.476.385.981,255.141.272,3.288.329.953,1.619.697.088,-,19.639.554.294,14476385981.0,255141272.0,3288329953.0,1619697088.0,,19639554294.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,102.019.534.344,5.249.923.040,22.323.249.891,7.879.337.417,788.381.818,138.260.426.510,102019534344.0,5249923040.0,22323249891.0,7879337417.0,788381818.0,138260426510.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,99.752.223.385,541.061.448,17.111.050.955,4.252.601.772,-,121.656.937.560,99752223385.0,541061448.0,17111050955.0,4252601772.0,,121656937560.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,104.369.364.267,1.596.899.000,14.090.021.002,13.731.904.684,-,133.788.188.953,104369364267.0,1596899000.0,14090021002.0,13731904684.0,,133788188953.0
