row_label_raw,row_label_full,col_0,Thuyết minh,Tỷ lệ vốn góp,Số cuối năm > Số cổ phiếu,Số cuối năm > Giế trị ghi số (VND),Số đầu năm > Số cổ phiếu,Số đầu năm > Giế trị ghi số (VND),numeric__Thuyết minh,numeric__Tỷ lệ vốn góp,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giế trị ghi số (VND),numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giế trị ghi số (VND)
Công ty Cổ phầnCông nghệ Viễnthống Sài Gòn,Công ty Cổ phầnCông nghệ Viễnthống Sài Gòn,Công ty Cổ phầnCông nghệ Viễnthống Sài Gòn,(i),"21,48%",15.896.923,423.492.661.074,15.896.923,423.492.661.074,,0.2148,15896923.0,423492661074.0,15896923.0,423492661074.0
Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty Cổ phầnĐầu tư Sài Gòn -Huế,Công ty Cổ phầnĐầu tư Sài Gòn -Huế,(ii),"28,14%",9.849.000,210.627.000.000,9.849.000,210.627.000.000,,0.2814,9849000.0,210627000000.0,9849000.0,210627000000.0
Công ty Cổ phầnĐầu tư Phát triểnKhu Công nghệ caoSải Gòn,Công ty Cổ phầnĐầu tư Phát triểnKhu Công nghệ caoSải Gòn,Công ty Cổ phầnĐầu tư Phát triểnKhu Công nghệ caoSải Gòn,(III),,-,-,8.233.083,82.330.830.000,,,,,8233083.0,82330830000.0
Công ty Cổ phầnScanviwood,Công ty Cổ phầnScanviwood,Công ty Cổ phầnScanviwood,(iv),34%,1.077.528,7.204.600.000,1.077.528,7.204.600.000,,0.34,1077528.0,7204600000.0,1077528.0,7204600000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,641.324.261.074,,723.655.091.074,,,,641324261074.0,,723655091074.0
Dự phòng giảm giáđầu tư vào công tyliên kết,Dự phòng giảm giáđầu tư vào công tyliên kết,Dự phòng giảm giáđầu tư vào công tyliên kết,,,,(371.921.339.307),,(355.948.048.924),,,,-371921339307.0,,-355948048924.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,,269.402.921.767,,367.707.042.160,,,,269402921767.0,,367707042160.0
