row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Mối quan hệ > Công ty con,Nội dung nghiệp vụ > Góp vốn Lãi vay trong năm,Năm nay > 2.630.000.000.000-,Năm trước > 184.972.827.888,numeric__Mối quan hệ > Công ty con,numeric__Nội dung nghiệp vụ > Góp vốn Lãi vay trong năm,numeric__Năm nay > 2.630.000.000.000-,numeric__Năm trước > 184.972.827.888
Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty con,Góp vốn,3.740.000.000,-,,,3740000000.0,
Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty con,Góp vốn,600.000.000.000,-,,,600000000000.0,
Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Công ty Cổ phần Đầu tư Vinatex Tân Tạo,Bên liên quan khác,Nhận hỗ trợ vốn Lãi phát sinh,100.000.000.000 1.233.333.333,-,,,,
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư Vinatex Tân Tạo > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Bên liên quan khác,Thu hồi khoản góp vốn bằng bù trừ công nợ,82.330.830.000,-,,,82330830000.0,
