row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 19),Mối quan hệ > Vay ngắn hạn (Thuyết minh số 19),Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 19),Số cuối năm > Vay ngắn hạn (Thuyết minh số 19),Số đầu năm > Vay ngắn hạn (Thuyết minh số 19),numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 19),numeric__Nội dung nghiệp vụ > Vay ngắn hạn (Thuyết minh số 19),numeric__Số cuối năm > Vay ngắn hạn (Thuyết minh số 19),numeric__Số đầu năm > Vay ngắn hạn (Thuyết minh số 19)
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng,Công ty con,Vay ngắn hạn,-,65.626.163.334,,,,65626163334.0
Công ty Cổ phần Đầu tư Vinetex Tân Tạo,Công ty Cổ phần Đầu tư Vinetex Tân Tạo,Công ty Cổ phần Đầu tư Vinetex Tân Tạo,Bên liên quan khác,Vay ngắn hạn,100.000.000.000,-,,,100000000000.0,
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Bên liên quan khác,Vay ngắn hạn,-,112.330.830.000,,,,112330830000.0
,,,,,100.000.000.000,177.956.993.334,,,100000000000.0,177956993334.0
Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (II),Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (II),Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang (II),Công ty con,Vay dài hạn,92.270.710.252,305.672.404.690,,,92270710252.0,305672404690.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (II),Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (II),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (II),Công ty con,Vay dài hạn,67.888.427.042,200.000.000.000,,,67888427042.0,200000000000.0
Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn (I),Vay dài hạn (Thuyết minh số 19) > Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn (I),Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn (I),Bên liên quan khác,Vay dài hạn,30.000.000.000,-,,,30000000000.0,
,,,,,190.169.137.294,505.672.404.690,,,190169137294.0,505672404690.0
Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Phải trả ngắn hạn khác (Thuyết minh số 18) > Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn – Bắc Giang,Công ty con,Phải trả khác,858.000.000,858.000.000,,,858000000.0,858000000.0
,,,,,858.000.000,858.000.000,,,858000000.0,858000000.0
