row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 19.1 và 19.2),Vay ngắn hạn > Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 19.1 và 19.2),Vay dài hạn và trái phiếu dài hạn đến hạn trả (Thuyết minh số 19.1 và 19.2),804.000.000.000,804.000.000.000,870.935.305.750,978.900.000.000,696.035.305.750,696.035.305.750,804000000000.0,804000000000.0,870935305750.0,978900000000.0,696035305750.0,696035305750.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,-,-,60.000.000.000,60.000.000.000,-,-,,,60000000000.0,60000000000.0,,
Vay các bên liên quan (Thuyết minh số 28),Vay ngắn hạn > Vay các bên liên quan (Thuyết minh số 28),Vay các bên liên quan (Thuyết minh số 28),177.956.993.334,177.956.993.334,301.700.000.000,379.656.993.334,100.000.000.000,100.000.000.000,177956993334.0,177956993334.0,301700000000.0,379656993334.0,100000000000.0,100000000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,981.956.993.334,981.956.993.334,1.232.635.305.750,1.418.556.993.334,796.035.305.750,796.035.305.750,981956993334.0,981956993334.0,1232635305750.0,1418556993334.0,796035305750.0,796035305750.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng (Thuyết minh số 19.1),Vay dài hạn > Vay ngân hàng (Thuyết minh số 19.1),Vay ngân hàng (Thuyết minh số 19.1),291.025.946.208,291.025.946.208,242.579.434.704,313.205.040.732,220.400.340.180,220.400.340.180,291025946208.0,291025946208.0,242579434704.0,313205040732.0,220400340180.0,220400340180.0
Trái phiếu phát hành (Thuyết minh số 19.2),Vay dài hạn > Trái phiếu phát hành (Thuyết minh số 19.2),Trái phiếu phát hành (Thuyết minh số 19.2),862.118.545.452,862.118.545.452,768.850.229.027,825.106.889.102,805.861.885.377,805.861.885.377,862118545452.0,862118545452.0,768850229027.0,825106889102.0,805861885377.0,805861885377.0
Vay các bên liên quan (Thuyết minh số 28),Vay dài hạn > Vay các bên liên quan (Thuyết minh số 28),Vay các bên liên quan (Thuyết minh số 28),505.672.404.690,505.672.404.690,192.059.137.294,507.572.404.690,190.159.137.294,190.159.137.294,505672404690.0,505672404690.0,192059137294.0,507572404690.0,190159137294.0,190159137294.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.658.816.896.350,1.658.816.896.350,1.203.488.801.025,1.645.884.334.524,1.216.421.362.851,1.216.421.362.851,1658816896350.0,1658816896350.0,1203488801025.0,1645884334524.0,1216421362851.0,1216421362851.0
