row_label_raw,row_label_full,col_0,Đơn vị tính: VND,numeric__Đơn vị tính: VND
,,,Nhà xưởng (bao gồm chi phí phát triển đất và cơ sở hạ tầng),
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,85.523.500.278,85523500278.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,229.526.135.000,229526135000.0
- Giảm trong năm,Nguyên giá: > - Giảm trong năm,- Giảm trong năm,(57.262.335.136),-57262335136.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,257.787.300.142,257787300142.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,14.546.427.186,14546427186.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,6.172.901.187,6172901187.0
- Giảm trong năm,Giá trị hao mòn lũy kế: > - Giảm trong năm,- Giảm trong năm,(13.136.494.886),-13136494886.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,7.582.833.487,7582833487.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,70.977.073.092,70977073092.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,250.204.466.655,250204466655.0
