row_label_raw,row_label_full,M&Số,CHỈ TIỀU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuế Điều chỉnh cho các khoản:,,48.510.469.839,692.401.598.696,,,48510469839.0,692401598696.0
02,02,02,Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,"11, 13",25.812.455.481,24.522.541.051,,,25812455481.0,24522541051.0
03,03,03,Các khoản dự phòng/(hoàn nhập dự phòng),23,20.690.998.436,(1.286.306.413),,23.0,20690998436.0,-1286306413.0
05,05,05,Lãi từ hoạt động đầu tư,,(247.175.591.835),(250.953.944.080),,,-247175591835.0,-250953944080.0
06,06,06,Chi phí lãi vay,23,194.625.837.141,205.096.743.650,,23.0,194625837141.0,205096743650.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,42.464.169.062,669.780.632.904,,,42464169062.0,669780632904.0
09,09,09,Giảm/(tăng) các khoản phải thu,,1.274.069.702.323,(1.245.883.568.735),,,1274069702323.0,-1245883568735.0
10,10,10,(Tăng)/giảm hàng tồn kho,,(58.910.441.264),44.529.616.702,,,-58910441264.0,44529616702.0
11,11,11,"(Giảm)/tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(183.911.783.469),296.358.314.747,,,-183911783469.0,296358314747.0
12,12,12,Tăng chi phí trả trước,,(10.199.151.792),(19.510.299.513),,,-10199151792.0,-19510299513.0
14,14,14,Tiền lãi vay đã trả,,(209.018.710.540),(184.717.830.373),,,-209018710540.0,-184717830373.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,16,(134.406.897.606),(150.041.395.759),,16.0,-134406897606.0,-150041395759.0
20,20,20,Lưu chuyển tiền thuần tử/(sử dụng) vào hoạt động kinh doanh,,720.086.886.714,(589.484.530.027),,,720086886714.0,-589484530027.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(254.307.533.964),(24.530.727.854),,,-254307533964.0,-24530727854.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác",,(135.139.612.162),(27.065.022.219),,,-135139612162.0,-27065022219.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,225.239.655.847,72.881.905.428,,,225239655847.0,72881905428.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(4.240.000.000),(1.240.000.000),,,-4240000000.0,-1240000000.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,374.174.889.081,6.780.000.000,,,374174889081.0,6780000000.0
27,27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,168.007.581.864,12.183.946.496,,,168007581864.0,12183946496.0
30,30,30,Lưu chuyển tiền thuần tử hoạt động đầu tư,,373.734.980.666,39.010.101.851,,,373734980666.0,39010101851.0
