row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm,Đơn vị tính: VND,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,14.1,6.093.546.314.000,2.859.806.314.000,141.0,6093546314000.0,2859806314000.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,14.2,641.324.261.074,723.655.091.074,142.0,641324261074.0,723655091074.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.3,448.500.200.000,448.500.200.000,143.0,448500200000.0,448500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(394.266.283.303),(373.656.450.887),,-394266283303.0,-373656450887.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.789.104.491.771,3.658.305.154.187,,6789104491771.0,3658305154187.0
