row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Giá trị,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Giá trị
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Dịch vụ Kinh Bắc (i),Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (i),Công ty Cổ phần Dịch vụ Kinh Bắc (i),233.506.720.919,-,638.720.513.305,-,233506720919.0,,638720513305.0,
Ứng trước cho PVcomBank liên quan đến hợp đồng nhận chuyển nhượng dự án đầu tư,Ngắn hạn > Ứng trước cho PVcomBank liên quan đến hợp đồng nhận chuyển nhượng dự án đầu tư,Ứng trước cho PVcomBank liên quan đến hợp đồng nhận chuyển nhượng dự án đầu tư,223.040.284.000,-,216.840.284.000,-,223040284000.0,,216840284000.0,
Ủy ban Nhân dân tỉnh Bắc Ninh tiến hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iii),Ngắn hạn > Ủy ban Nhân dân tỉnh Bắc Ninh tiến hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iii),Ủy ban Nhân dân tỉnh Bắc Ninh tiến hỗ trợ giá cho thuê lại đất có cơ sở hạ tầng (iii),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (iii),Ngắn hạn > Phải thu tiền đặt cọc (iii),Phải thu tiền đặt cọc (iii),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Ủy ban Nhân dân Xã Vân Dương,Ngắn hạn > Ủy ban Nhân dân Xã Vân Dương,Ủy ban Nhân dân Xã Vân Dương,3.327.780.000,-,3.327.780.000,-,3327780000.0,,3327780000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,16.054.539.432,-,11.421.664.632,-,16054539432.0,,11421664632.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,43.991.587.341,-,13.345.177.540,-,43991587341.0,,13345177540.0,
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 28),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 28),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 28),-,-,3.953.017.848,-,,,3953017848.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,552.212.040.096,-,919.899.565.729,-,552212040096.0,,919899565729.0,
