row_label_raw,row_label_full,Bên liên quan > Phải thu cho vay ngắn hạn (Thuyết minh số 7),Môi quan hệ > Phải thu cho vay ngắn hạn (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu cho vay ngắn hạn (Thuyết minh số 7),Số cuối năm > Phải thu cho vay ngắn hạn (Thuyết minh số 7),Đơn vị tính: VND > Số đầu năm > Phải thu cho vay ngắn hạn (Thuyết minh số 7),numeric__Môi quan hệ > Phải thu cho vay ngắn hạn (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu cho vay ngắn hạn (Thuyết minh số 7),numeric__Số cuối năm > Phải thu cho vay ngắn hạn (Thuyết minh số 7),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu cho vay ngắn hạn (Thuyết minh số 7)
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.900.000.000,,,,1900000000.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.900.000.000,,,,1900000000.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.900.000.000,,,,1900000000.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.900.000.000,,,,1900000000.0
Phải thu cho vay dài hạn (Thuyết minh số 7),Phải thu cho vay dài hạn (Thuyết minh số 7),Phải thu cho vay dài hạn (Thuyết minh số 7),Phải thu cho vay dài hạn (Thuyết minh số 7),Phải thu cho vay dài hạn (Thuyết minh số 7),Phải thu cho vay dài hạn (Thuyết minh số 7),Phải thu cho vay dài hạn (Thuyết minh số 7),,,,
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.901.132.633.533,,,,1901132633533.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.901.132.633.533,,,,1901132633533.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.901.132.633.533,,,,1901132633533.0
Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty TNHH Một Thành viên Phát triển Đô thị Tràng Cát (*),Công ty con Cho vay,,-,1.901.132.633.533,,,,1901132633533.0
Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty con Cho vay,,4.000.000.000,-,,,4000000000.0,
Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty con Cho vay,,4.000.000.000,-,,,4000000000.0,
Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty con Cho vay,,4.000.000.000,-,,,4000000000.0,
Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Phải thu cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty TNHH MTV Đầu tư Kinh Bắc Đà Nẵng (**),Công ty con Cho vay,,4.000.000.000,1.901.132.633.533,,,4000000000.0,1901132633533.0
