row_label_raw,row_label_full,Số dư tại ngày 1 tháng 1 năm 2020 > Dự phòng rủi ro (hoàn nhập)/trích lập trong năm,Chủng khoán đầu tư sẵn sàng để bán triệu đồng > 1.292.424 > (352.934),Chủng khoán đầu tư giữ đến ngày đáo hạn triệu đồng > 6.591.919 > 5.820.528,Tổng triệu đồng > 7.884.343 > 5.467.594,numeric__Chủng khoán đầu tư sẵn sàng để bán triệu đồng > 1.292.424 > (352.934),numeric__Chủng khoán đầu tư giữ đến ngày đáo hạn triệu đồng > 6.591.919 > 5.820.528,numeric__Tổng triệu đồng > 7.884.343 > 5.467.594
Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,Sử dụng dự phòng xử lý rủi ro tín dụng,(590.000),(12.409.321),(12.999.321),-590000.0,-12409321.0,-12999321.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,349.490,3.126,352.616,349490.0,3126.0,352616.0
