row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Vốn chủ sở hữu khác triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự pnòng tài chính triệu đồng,Quỹ đầu tư phát triển triệu đồng,Chênh lệch tỷ giế hồi đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Vốn chủ sở hữu khác triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự pnòng tài chính triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Chênh lệch tỷ giế hồi đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2019(trình bày lại),Số dư tại ngày 1 tháng 1 năm 2019(trình bày lại),Số dư tại ngày 1 tháng 1 năm 2019(trình bày lại),37.234.046,8.974.698,207.470,2.732.611,5.369.065,65.941,599.602,14.836.676,296.225,67.316.334,37234046.0,8974698.0,207470.0,2732611.0,5369065.0,65941.0,599602.0,14836676.0,296225.0,67316334.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,9.461.267,15.722,9.476.989,,,,,,,,9461267.0,15722.0,9476989.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,477.851,954.582,10.671,-,(1.443.104),-,-,,,,477851.0,954582.0,10671.0,,-1443104.0,,
"Trích quỹ khen thưởng, phúc lợi năm 2018","Trích quỹ khen thưởng, phúc lợi năm 2018","Trích quỹ khen thưởng, phúc lợi năm 2018",-,-,-,-,-,-,-,(41.812),(2.927),(44.739),,,,,,,,-41812.0,-2927.0,-44739.0
Tăng vốn bằng cổ phiếu của công ty con trọng năm,Tăng vốn bằng cổ phiếu của công ty con trọng năm,Tăng vốn bằng cổ phiếu của công ty con trọng năm,-,-,308.438,-,-,-,-,-,278.444,586.882,,,308438.0,,,,,,278444.0,586882.0
Tăng do chuyển đổi béo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi béo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi béo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,26.412,-,-,26.412,,,,,,,26412.0,,,26412.0
Sử dụng quỹ DPTC để xử lý rủi ro trong năm,Sử dụng quỹ DPTC để xử lý rủi ro trong năm,Sử dụng quỹ DPTC để xử lý rủi ro trong năm,-,-,-,-,(2.220),-,-,-,-,(2.220),,,,,-2220.0,,,,,-2220.0
Trả cổ tức năm 2018 cho cổ đông thiểu số,Trả cổ tức năm 2018 cho cổ đông thiểu số,Trả cổ tức năm 2018 cho cổ đông thiểu số,-,-,-,-,-,-,-,-,(26.124),(26.124),,,,,,,,,-26124.0,-26124.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,(15),-,-,1.022,538,-,19.656,83,21.284,,-15.0,,,1022.0,538.0,,19656.0,83.0,21284.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,37.234.046,8.974.683,515.908,3.210.462,6.322.449,77.150,626.014,19.832.683,561.423,77.354.818,37234046.0,8974683.0,515908.0,3210462.0,6322449.0,77150.0,626014.0,19832683.0,561423.0,77354818.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,13.693.588,63.646,13.757.234,,,,,,,,13693588.0,63646.0,13757234.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,675.218,1.349.516,598,-,(2.025.332),-,-,,,,675218.0,1349516.0,598.0,,-2025332.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(3.568.790),(6.538),(3.575.328),,,,,,,,-3568790.0,-6538.0,-3575328.0
Giảm dc chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Giảm dc chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Giảm dc chuyển đổi báo cáo tài chính cho mục đích hợp nhất,-,-,-,-,-,-,(144.233),-,-,(144.233),,,,,,,-144233.0,,,-144233.0
Trả cổ tức năm 2019,Trả cổ tức năm 2019,Trả cổ tức năm 2019,-,-,-,-,-,-,-,(1.915.509),(19.527),(1.935.036),,,,,,,,-1915509.0,-19527.0,-1935036.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,15,-,(6.965),(19.494),(3.466),-,(16.010),(285),(46.205),,15.0,,-6965.0,-19494.0,-3466.0,,-16010.0,-285.0,-46205.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,37.234.046,8.974.698,515.908,3.878.715,7.652.471,74.282,481.781,26.000.630,598.719,85.411.250,37234046.0,8974698.0,515908.0,3878715.0,7652471.0,74282.0,481781.0,26000630.0,598719.0,85411250.0
