row_label_raw,row_label_full,Tài sản
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý"
Tiền gửi zai NHNN,Tiền gửi zai NHNN,Tiền gửi zai NHNN
Tiền gửi zai và cho vay các -CTD khác (*),Tiền gửi zai và cho vay các -CTD khác (*),Tiền gửi zai và cho vay các -CTD khác (*)
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*)
"Các công cụ, tài chính phải sinh và các tài sản tài chính khác","Các công cụ, tài chính phải sinh và các tài sản tài chính khác","Các công cụ, tài chính phải sinh và các tài sản tài chính khác"
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*)
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*)
"Góp vốn, đầu tư dài han (*)","Góp vốn, đầu tư dài han (*)","Góp vốn, đầu tư dài han (*)"
Tài sản cố định,Tài sản cố định,Tài sản cố định
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*)
Tổng tài sản,Tổng tài sản,Tổng tài sản
Nợ phải trả,Nợ phải trả,Nợ phải trả
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN
Tiền gửi và vay từ T©TD khác,Tiền gửi và vay từ T©TD khác,Tiền gửi và vay từ T©TD khác
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dung chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dung chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dung chịu rủi ro"
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá
Các khoản nợ khác *),Các khoản nợ khác *),Các khoản nợ khác *)
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả
Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của tài sản và công nợ (ròng)
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng"
(*): Khếng bao gồm dự phòng rủi ro,(*): Khếng bao gồm dự phòng rủi ro,(*): Khếng bao gồm dự phòng rủi ro
