row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2020triệu đồng,Ngày 31 tháng 12năm 2019triệu đồng > %,Ngày 31 tháng 12năm 2019triệu đồng > triệu đồng,Ngày 31 tháng 12năm 2019triệu đồng > %_1,numeric__Ngày 31 tháng 12năm 2020triệu đồng,numeric__Ngày 31 tháng 12năm 2019triệu đồng > %,numeric__Ngày 31 tháng 12năm 2019triệu đồng > triệu đồng,numeric__Ngày 31 tháng 12năm 2019triệu đồng > %_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,151.784.675,"15,33",134.000.840,"15,01",151784675.0,15.33,134000840.0,15.01
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,17.775.617,"1,79",18.924.304,"2,12",17775617.0,1.79,18924304.0,2.12
Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,Công ty TNHH hai thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc,1.270.315,"0,13",967.114,"0,11",1270315.0,0.13,967114.0,0.11
Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,Nhà nước giữ quyền chi phối,33.523.426,"3,39",34.231.510,"3,83",33523426.0,3.39,34231510.0,3.83
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,,,,,,,,
Công ty cổ phần có vốn cổ phần của nhà nước chấm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty TNHH khác > Công ty cổ phần có vốn cổ phần của nhà nước chấm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chấm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,39.700.557,"4,01",38.090.520,"4,27",39700557.0,4.01,38090520.0,4.27
Công ty Cổ phần khác,Công ty TNHH khác > Công ty Cổ phần khác,Công ty Cổ phần khác,65.837.792,"6,65",55.567.154,"6,22",65837792.0,6.65,55567154.0,6.22
Công ty hợp danh,Công ty TNHH khác > Công ty hợp danh,Công ty hợp danh,8.189.560,"0,83",3.657.234,"0,41",8189560.0,0.83,3657234.0,0.41
Doanh nghiệp tư nhân,Công ty TNHH khác > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,3.867.391,"0,39",4.322.656,"0,48",3867391.0,0.39,4322656.0,0.48
Doanh nghiệp có vốn đầu tư nước ngoài,Công ty TNHH khác > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,99.332.249,"10,03",72.930.412,"8,17",99332249.0,10.03,72930412.0,8.17
Hợp tác xã và liên hiệp hợp tác xã,Công ty TNHH khác > Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.616.504,"0,16",451.800,"0,05",1616504.0,0.16,451800.0,0.05
"Hộ kinh doanh, cá nhân","Công ty TNHH khác > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",497.404.616,"50,23",472.022.908,"52,87",497404616.0,50.23,472022908.0,52.87
"Đơn vị hành chính sự nghiệp, đãng, đoàn thể và hiệp hội","Công ty TNHH khác > Đơn vị hành chính sự nghiệp, đãng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đãng, đoàn thể và hiệp hội",39.967.629,"4,04",35.154.926,"3,94",39967629.0,4.04,35154926.0,3.94
Các thành phần kinh tế khác,Công ty TNHH khác > Các thành phần kinh tế khác,Các thành phần kinh tế khác,30.060.954,"3,02",22.463.850,"2,52",30060954.0,3.02,22463850.0,2.52
,,,990.331.285,100,892.785.228,100,990331285.0,100.0,892785228.0,100.0
