row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.091.247,2.211.079,6.302.326,4091247.0,2211079.0,6302326.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.856,2.896,9.752,6856.0,2896.0,9752.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(52.345),-,(52.345),-52345.0,,-52345.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(2.923),130.503,127.580,-2923.0,130503.0,127580.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.042.835,2.344.478,6.387.313,4042835.0,2344478.0,6387313.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,325.248,1.402.485,1.727.733,325248.0,1402485.0,1727733.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,38.931,208.885,247.816,38931.0,208885.0,247816.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Tăng khác,"Thanh lý, nhượng bán > Tăng khác",Tăng khác,9.374,701,10.075,9374.0,701.0,10075.0
Số dư cuối năm,"Thanh lý, nhượng bán > Số dư cuối năm",Số dư cuối năm,373.553,1.612.071,1.985.624,373553.0,1612071.0,1985624.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.765.999,808.594,4.574.593,3765999.0,808594.0,4574593.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.669.282,732.407,4.401.689,3669282.0,732407.0,4401689.0
