row_label_raw,row_label_full,Thời gian quá hạn,Mức trích dự phòng,numeric__Mức trích dự phòng
Từ trên sâu tháng đến dưới một năm,Từ trên sâu tháng đến dưới một năm,Từ trên sâu tháng đến dưới một năm,30%,0.3
Từ một nấm đến dưới hai nấm,Từ một nấm đến dưới hai nấm,Từ một nấm đến dưới hai nấm,50%,0.5
Từ hai nấm đến dưới ba nấm,Từ hai nấm đến dưới ba nấm,Từ hai nấm đến dưới ba nấm,70%,0.7
Từ ba nấm trở lên,Từ ba nấm trở lên,Từ ba nấm trở lên,100%,1.0
