row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ khắctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ khắctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,7.570.864,5.357.272,1.551.252,338.214,14.817.602,7570864.0,5357272.0,1551252.0,338214.0,14817602.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,116.971,177.049,93.901,15.332,403.253,116971.0,177049.0,93901.0,15332.0,403253.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,270.668,37.607,13.024,4.244,325.543,270668.0,37607.0,13024.0,4244.0,325543.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.125),(37.952),(36.631),(2.202),(84.910),-8125.0,-37952.0,-36631.0,-2202.0,-84910.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,924,-,(924),-,,924.0,,-924.0,
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(25.510),5.830,5.767,(2.482),(16.395),-25510.0,5830.0,5767.0,-2482.0,-16395.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.924.868,5.540.730,1.627.313,352.182,15.445.093,7924868.0,5540730.0,1627313.0,352182.0,15445093.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,2.263.151,4.787.977,1.074.669,269.423,8.395.220,2263151.0,4787977.0,1074669.0,269423.0,8395220.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,279.115,268.713,138.225,36.897,722.950,279115.0,268713.0,138225.0,36897.0,722950.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.991),(33.264),(36.343),(1.703),(78.301),-6991.0,-33264.0,-36343.0,-1703.0,-78301.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,924,-,(924),-,,924.0,,-924.0,
Tăng/(giảm) khác,Giá trị hao mòn luỹ kế > Tăng/(giảm) khác,Tăng/(giảm) khác,(12.879),5.594,3.788,(688),(4.185),-12879.0,5594.0,3788.0,-688.0,-4185.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.522.396,5.029.944,1.180.339,303.005,9.035.684,2522396.0,5029944.0,1180339.0,303005.0,9035684.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.307.713,569.295,476.583,68.791,6.422.382,5307713.0,569295.0,476583.0,68791.0,6422382.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.402.472,510.788,446.974,49.177,6.409.409,5402472.0,510788.0,446974.0,49177.0,6409409.0
