row_label_raw,row_label_full,col_0,2020triệu đồng,2019triệu đồng,numeric__2020triệu đồng,numeric__2019triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.694.931,2.357.430,2694931.0,2357430.0
Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,1.751.795,1.337.954,1751795.0,1337954.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,502.215,408.870,502215.0,408870.0
"Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản",108.163,139.813,108163.0,139813.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,332.768,470.793,332768.0,470793.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(785.226),(859.995),-785226.0,-859995.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(353.120),(377.461),-353120.0,-377461.0
"Chi về chuyển nhượng, thanh lý tài sản","Chi về chuyển nhượng, thanh lý tài sản","Chi về chuyển nhượng, thanh lý tài sản",(53.715),(1.823),-53715.0,-1823.0
Chi phí khác,Chi phí khác,Chi phí khác,(378.391),(480.711),-378391.0,-480711.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.909.705,1.497.435,1909705.0,1497435.0
