row_label_raw,row_label_full,Chỉ tiêu,Dịch vụ tài chính ngân hàng,Dịch vụ tài chính phi ngân hàng,Khác,Bù trừ,Tổng cộng,numeric__Dịch vụ tài chính ngân hàng,numeric__Dịch vụ tài chính phi ngân hàng,numeric__Khác,numeric__Bù trừ,numeric__Tổng cộng
I. Doanh thu,I. Doanh thu,I. Doanh thu,95.582.058,3.008.649,15.384.164,(392.104),113.582.767,95582058.0,3008649.0,15384164.0,-392104.0,113582767.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,83.208.974,482.938,104.745,(118.940),83.677.717,83208974.0,482938.0,104745.0,-118940.0,83677717.0
- Doanh thu lãi từ khách hàng bên ngoài,- Doanh thu lãi từ khách hàng bên ngoài,- Doanh thu lãi từ khách hàng bên ngoài,83.119.063,455.772,102.882,-,83.677.717,83119063.0,455772.0,102882.0,,83677717.0
- Doanh thu lãi từ nội bộ,- Doanh thu lãi từ nội bộ,- Doanh thu lãi từ nội bộ,89.911,27.166,1.853,(118.940),-,89911.0,27166.0,1853.0,-118940.0,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,6.066.979,2 458.296,3.624,(186.397),8.342.502,6066979.0,,3624.0,-186397.0,8342502.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,6.306.105,67.415,15.275.795,(86.767),21.562.548,6306105.0,67415.0,15275795.0,-86767.0,21562548.0
II. Chi phí,II. Chi phí,II. Chi phí,(66.811.825),(2.693.790),(15.160.106),315.040,(84.350.681),-66811825.0,-2693790.0,-15160106.0,315040.0,-84350681.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(48.067.137),(70.432),(78.259),118.940,(48.096.888),-48067137.0,-70432.0,-78259.0,118940.0,-48096888.0
- Chi phí lãi từ khách hàng bên ngoài,- Chi phí lãi từ khách hàng bên ngoài,- Chi phí lãi từ khách hàng bên ngoài,(48.006.658),(11.972),(78.258),-,(48.096.888),-48006658.0,-11972.0,-78258.0,,-48096888.0
- Chi phí lãi từ nội bộ,- Chi phí lãi từ nội bộ,- Chi phí lãi từ nội bộ,(60.479),(58.460),(1),118.940,-,-60479.0,-58460.0,-1.0,118940.0,
