row_label_raw,row_label_full,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuệtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuệtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
51.763.519,51.763.519,51.763.519,537.160,2.157,175.586,3.891,(135.517),52.346.796,537160.0,2157.0,175586.0,3891.0,-135517.0,52346796.0
51.706.468,51.706.468,51.706.468,464.352,4,175.557,415,-,52.346.796,464352.0,4.0,175557.0,415.0,,52346796.0
57.051,57.051,57.051,72.808,2.153,29,3.476,(135.517),-,72808.0,2153.0,29.0,3476.0,-135517.0,
4.615.554,4.615.554,4.615.554,328.236,-,-,2.041,(80),4.945.751,328236.0,,,2041.0,-80.0,4945751.0
4.905.366,4.905.366,4.905.366,287.693,-,8.198,335,(3.137),5.198.455,287693.0,,8198.0,335.0,-3137.0,5198455.0
(27.353.221),(27.353.221),(27.353.221),(194.575),-,(59.082),-,219.652,(27.387.226),-194575.0,,-59082.0,,219652.0,-27387226.0
(27.274.755),(27.274.755),(27.274.755),(194.575),-,(2.031),-,84.135,(27.387.226),-194575.0,,-2031.0,,84135.0,-27387226.0
(78.466),(78.466),(78.466),-,-,(57.051),-,135.517,-,,,-57051.0,,135517.0,
(368.629),(368.629),(368.629),(23.140),-,(266),(17),-,(392.052),-23140.0,,-266.0,-17.0,,-392052.0
(12.345.466),(12.345.466),(12.345.466),(462.545),(1.092),(29.635),(3.468),2.712,(12.839.494),-462545.0,-1092.0,-29635.0,-3468.0,2712.0,-12839494.0
21.217.123,21.217.123,21.217.123,472.829,1.065,94.801,2.782,83.630,21.872.230,472829.0,1065.0,94801.0,2782.0,83630.0,21872230.0
(1.783.020),(1.783.020),(1.783.020),(1.274),-,(19.937),-,-,(1.804.231),-1274.0,,-19937.0,,,-1804231.0
19.434.103,19.434.103,19.434.103,471.555,1.065,74.864,2.782,83.630,20.067.999,471555.0,1065.0,74864.0,2782.0,83630.0,20067999.0
