row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,TSCĐ hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__TSCĐ hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,2.631.443,2.195.241,534.913,162.190,5.523.787,2631443.0,2195241.0,534913.0,162190.0,5523787.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.852,686.499,77.706,28.356,794.413,1852.0,686499.0,77706.0,28356.0,794413.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),199.415,5.161,-,-,204.576,199415.0,5161.0,,,204576.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(74),(102.390),(22.547),(6.914),(131.925),-74.0,-102390.0,-22547.0,-6914.0,-131925.0
Phân loại lại (Thuyết minh 12.2),Nguyên giá > Phân loại lại (Thuyết minh 12.2),Phân loại lại (Thuyết minh 12.2),(141.321),6.875,-,-,(134.446),-141321.0,6875.0,,,-134446.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(752),-,1.258,-,506,-752.0,,1258.0,,506.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.690.563,2.791.386,591.330,183.632,6.256.911,2690563.0,2791386.0,591330.0,183632.0,6256911.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,698.768,1.532.549,294.755,147.983,2.674.055,698768.0,1532549.0,294755.0,147983.0,2674055.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,68.875,274.530,43.114,9.363,395.882,68875.0,274530.0,43114.0,9363.0,395882.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,(74),(102.213),(22.427),(6.826),(131.540),-74.0,-102213.0,-22427.0,-6826.0,-131540.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,-,946,-,-,946,,946.0,,,946.0
Tại ngày 31 tháng 12 năm 2023,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,767.569,1.705.812,315.442,150.520,2.939.343,767569.0,1705812.0,315442.0,150520.0,2939343.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,1.932.675,662.692,240.158,14.207,2.849.732,1932675.0,662692.0,240158.0,14207.0,2849732.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.922.994,1.085.574,275.888,33.112,3.317.568,1922994.0,1085574.0,275888.0,33112.0,3317568.0
