row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2023 Triệu VND,Năm 2022 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2023 Triệu VND,numeric__Năm 2022 Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,01,01,Mua sắm tài sản cố định,,(1.276.249),(511.513),,,-1276249.0,-511513.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",,4.038,4.741,,,4038.0,4741.0
05,05,05,"Tiền thu từ thanh lý, nhượng bán bất động sản đầu tư",,-,85.364,,,,85364.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,-,(10.520),,,,-10520.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,6.451,,,,6451.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,74.955,59.599,,,74955.0,59599.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(1.197.256),(365.878),,,-1197256.0,-365878.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
04,04,04,"Cổ tức đã trả cho các cổ đông, lợi nhuận đã chia",,(3.377.435),-,,,-3377435.0,
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,(3.377.435),-,,,-3377435.0,
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,32.561.510,20.908.661,,,32561510.0,20908661.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,103.510.228,82.601.567,,,103510228.0,82601567.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,35 136.071.738,103.510.228,,,,103510228.0
