row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2023,Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2023,Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2023,numeric__Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2023
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,6.909.300,-,-,-,-,6.909.300,,,6909300.0,,,,,6909300.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,18.504.814,-,-,-,-,18.504.814,,,18504814.0,,,,,18504814.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,97.443.634,13.538.679,3.891.618,50.000,-,114.923.931,,,97443634.0,13538679.0,3891618.0,50000.0,,114923931.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,7.323.489,-,-,-,-,7.323.489,,,7323489.0,,,,,7323489.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),4.872.897,3.931.664,30.871.062,79.285.228,217.156.332,24.414.650,127.070.019,487.601.852,4872897.0,3931664.0,30871062.0,79285228.0,217156332.0,24414650.0,127070019.0,487601852.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,2.396.815,5.970.674,20.679.947,8.890.378,35.525.533,73.463.347,,,2396815.0,5970674.0,20679947.0,8890378.0,35525533.0,73463347.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,303.387,303.387,,,,,,,303387.0,303387.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,4.762.561,4.762.561,,,,,,,4762561.0,4762561.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,177.005,177.005,,,,,,,177005.0,177005.0
