row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình (Thuyết minh 12.1) > Chuyển sang TSCĐ vô hình (Thuyết minh 12.2),Năm 2023Triệu VND > 584.626 > 1.038.095 > (204.576) > (243.171),Năm 2022Triệu VND > 479.547 > 195.466 > (21.243) > (101.872),numeric__Năm 2023Triệu VND > 584.626 > 1.038.095 > (204.576) > (243.171),numeric__Năm 2022Triệu VND > 479.547 > 195.466 > (21.243) > (101.872)
Chuyển sang tài sản khác,Chuyển sang tài sản khác,Chuyển sang tài sản khác,-,(3.452),,-3452.0
Phân loại lại,Phân loại lại,Phân loại lại,-,36.180,,36180.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.174.974,584.626,1174974.0,584626.0
