row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuệtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuệtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,
"1. Tiền mặt, vàng bạc, đá quý","Tài sản > 1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý",6.909.295,-,5,-,-,-,6.909.300,6909295.0,,5.0,,,,6909300.0
2. Tài sản cố định,Tài sản > 2. Tài sản cố định,2. Tài sản cố định,4.680.080,78.597,-,3.855,29,-,4.762.561,4680080.0,78597.0,,3855.0,29.0,,4762561.0
3. Tài sản khác,Tài sản > 3. Tài sản khác,3. Tài sản khác,700.125.546,11.683.583,210.847,1.764.940,57.531,(6.719.719),707.122.728,700125546.0,11683583.0,210847.0,1764940.0,57531.0,-6719719.0,707122728.0
,,,711.714.921,11.762.180,210.852,1.768.795,57.560,(6.719.719),718.794.589,711714921.0,11762180.0,210852.0,1768795.0,57560.0,-6719719.0,718794589.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,
1. Nợ phải trả khách hàng bên ngoài,Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,631.991.218,6.151.512,149.945,1.147.192,272,(2.130.278),637.309.861,631991218.0,6151512.0,149945.0,1147192.0,272.0,-2130278.0,637309861.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,1.438.543,47.737,70,4.587,782,-,1.491.719,1438543.0,47737.0,70.0,4587.0,782.0,,1491719.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,9.033.411,3.575,62,-,-,-,9.037.048,9033411.0,3575.0,62.0,,,,9037048.0
,,,642.463.172,6.202.824,150.077,1.151.779,1.054,(2.130.278),647.838.628,642463172.0,6202824.0,150077.0,1151779.0,1054.0,-2130278.0,647838628.0
