row_label_raw,row_label_full,col_0,31.12.2023Triệu VND,31.12.2022Triệu VND,numeric__31.12.2023Triệu VND,numeric__31.12.2022Triệu VND
"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng",,
Bắt động sản,"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng > Bắt động sản",Bắt động sản,867.009.958,769.521.588,867009958.0,769521588.0
Hàng tồn kho,"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng > Hàng tồn kho",Hàng tồn kho,572.679,312.293,572679.0,312293.0
"Máy móc, thiết bị","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng > Máy móc, thiết bị","Máy móc, thiết bị",3.984.708,3.698.194,3984708.0,3698194.0
Giấy tờ có giá,"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu của khách hàng > Giấy tờ có giá",Giấy tờ có giá,48.265.817,28.542.216,48265817.0,28542216.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- GTCG do doanh nghiệp phát hành,Trong đó: > - GTCG do doanh nghiệp phát hành,- GTCG do doanh nghiệp phát hành,48.265.817,28.542.216,48265817.0,28542216.0
Tài sản khác,Trong đó: > Tài sản khác,Tài sản khác,22.235.715,20.794.373,22235715.0,20794373.0
,,,942.068.877,822.868.664,942068877.0,822868664.0
"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác",,
Bắt động sản,"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác > Bắt động sản",Bắt động sản,840.698,791.922,840698.0,791922.0
Giấy tờ có giá,"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác > Giấy tờ có giá",Giấy tờ có giá,250.000,5.521.500,250000.0,5521500.0
Tài sản khác,"Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác > Tài sản khác",Tài sản khác,51.589.470,40.242.665,51589470.0,40242665.0
,,,52.680.168,46.556.087,52680168.0,46556087.0
"Tổng tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu","Tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu của các tổ chức tín dụng khác > Tổng tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu","Tổng tài sản, GTCG nhận thế chấp, cầm cố và chiết khấu, tái chiết khấu",994.749.045,869.424.751,994749045.0,869424751.0
