row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Miền Bắc Triệu VND > Tại ngày 31 tháng 12 năm 2023,Miền Trung Triệu VND > Tại ngày 31 tháng 12 năm 2023,Miền Nam Triệu VND > Tại ngày 31 tháng 12 năm 2023,Loại trừ Triệu VND > Tại ngày 31 tháng 12 năm 2023,Tổng cộng Triệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Miền Bắc Triệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Miền Trung Triệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Miền Nam Triệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Loại trừ Triệu VND > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng cộng Triệu VND > Tại ngày 31 tháng 12 năm 2023
Tải sản,Tải sản,Tải sản,106.951.257,73.218.068,689.239.269,(150.614.005),718.794.589,106951257.0,73218068.0,689239269.0,-150614005.0,718794589.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,104.398.802,71.706.464,617.757.925,(146.024.563),647.838.628,104398802.0,71706464.0,617757925.0,-146024563.0,647838628.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,
Kết quả kinh doanh bộ phận,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.569.585,1.529.292,15.885.491,83.631,20.067.999,2569585.0,1529292.0,15885491.0,83631.0,20067999.0
,,,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,,,,,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,,
Tải sản,Tại ngày 31 tháng 12 năm 2022 > Tải sản,Tải sản,86.875.381,64.568.858,589.651.441,(133.220.495),607.875.185,86875381.0,64568858.0,589651441.0,-133220495.0,607875185.0
Nợ phải trả,Tại ngày 31 tháng 12 năm 2022 > Nợ phải trả,Nợ phải trả,84.784.267,62.881.838,531.315.549,(129.545.132),549.436.522,84784267.0,62881838.0,531315549.0,-129545132.0,549436522.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,
Kết quả kinh doanh bộ phận,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.113.741,1.687.022,13.454.496,(141.051),17.114.208,2113741.0,1687022.0,13454496.0,-141051.0,17114208.0
