row_label_raw,row_label_full,Chỉ tiêu,Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 - 3 tháng,Trong hạn > Từ 3 - 12 tháng,Trong hạn > Từ 1 - 5 năm,Trong hạn > Trên 5 năm,Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 - 3 tháng,numeric__Trong hạn > Từ 3 - 12 tháng,numeric__Trong hạn > Từ 1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,163.200,-,-,-,-,163.200,,,163200.0,,,,,163200.0
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,3.759.537,-,-,-,-,3.759.537,,,3759537.0,,,,,3759537.0
"Tiền gửi, vàng gửi tại và cho vay các TCTD khác (*)","Tiền gửi, vàng gửi tại và cho vay các TCTD khác (*)","Tiền gửi, vàng gửi tại và cho vay các TCTD khác (*)",-,-,3.884.821,410.000,-,-,-,4.294.821,,,3884821.0,410000.0,,,,4294821.0
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,-,-,-,-,,,,,,,,
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,-,-,-,-,-,-,,,,,,,,
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Cho vay khách hàng (*),Cho vay khách hàng (*),314.978,92.572,1.061.580,2.495.654,10.413.535,2.479.434,3.109.624,19.967.377,314978.0,92572.0,1061580.0,2495654.0,10413535.0,2479434.0,3109624.0,19967377.0
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,306.723,405.456,571.709,1.283.888,,,,,306723.0,405456.0,571709.0,1283888.0
"Góp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,665.883,665.883,,,,,,,665883.0,665883.0
Tài sản cố định và Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,1.098.035,1.098.035,,,,,,,1098035.0,1098035.0
Tài sản Có khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tài sản Có khác (*),Tài sản Có khác (*),-,-,1.157.401,-,-,-,-,1.157.401,,,1157401.0,,,,,1157401.0
Tổng Tài sản,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*) > Tổng Tài sản,Tổng Tài sản,314.978,92.572,10.026.539,2.905.654,10.720.258,2.884.890,5.445.251,32.390.142,314978.0,92572.0,10026539.0,2905654.0,10720258.0,2884890.0,5445251.0,32390142.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,-,-,-,-,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,2.849.781,200.000,187,630,338,3.050.936,,,2849781.0,200000.0,187.0,630.0,338.0,3050936.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,7.090.334,4.362.115,11.600.057,1.116.539,-,24.169.045,,,7090334.0,4362115.0,11600057.0,1116539.0,,24169045.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,822.825,-,-,-,-,822.825,,,822825.0,,,,,822825.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,10.762.940,4.562.115,11.600.244,1.117.169,338,28.042.806,,,10762940.0,4562115.0,11600244.0,1117169.0,338.0,28042806.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,314.978,92.572,(736.401),(1.656.461),(879.986),1.767.721,5.444.913,4.347.336,314978.0,92572.0,-736401.0,-1656461.0,-879986.0,1767721.0,5444913.0,4347336.0
